日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	
EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	K	D	2014-02-15T07:00:00	139.425	139.481	139.425	
142.209	142.261	142.181	142.216	32.24	46.02	2014-01-07T15:00:00	142.463	142.463	
142.213	142.235	142.435	142.432	142.182	142.209	45.60	53.07	2014-01-07T14:30:00	
142.373	142.476	142.312	142.463	142.343	142.454	142.284	142.435	60.22	
59.06	2014-01-07T14:00:00	142.340	142.406	142.269	142.373	142.311	142.380	142.241	
142.343	53.39	63.88	2014-01-07T13:30:00	142.340	142.383	142.268	142.340	142.313	
142.354	142.239	142.311	63.57	70.97	2014-01-07T13:00:00	142.459	142.530	142.289	
142.340	142.432	142.505	142.259	142.313	74.68	70.04	2014-01-07T12:30:00	142.230	
142.539	142.218	142.459	142.202	142.514	142.191	142.432	74.66	61.37	
2014-01-07T12:00:00	142.176	142.274	142.181	142.230	142.150	142.248	142.151	142.202	
60.78	49.37	2014-01-07T11:30:00	142.124	142.249	142.117	142.176	142.097	142.221	
142.089	142.150	48.67	44.13	2014-01-07T11:00:00	142.152	142.257	142.094	142.124	
142.127	142.235	142.067	142.097	38.64	45.06	2014-01-07T10:30:00	142.059	142.174	
142.046	142.152	142.029	142.146	142.019	142.127	45.09	51.47	2014-01-07T10:00:00	
142.222	142.238	141.956	142.059	142.195	142.212	141.929	142.029	51.44	
57.25	2014-01-07T09:30:00	142.177	142.358	142.174	142.222	142.149	142.331	142.145	
142.195	57.87	61.61	2014-01-07T09:00:00	142.069	142.251	142.060	142.177	142.038	
142.227	142.030	142.149	62.44	61.80	2014-01-07T08:30:00	142.117	142.155	142.041	
142.069	142.088	142.127	142.011	142.038	64.53	54.57	2014-01-07T08:00:00	142.142	
142.156	142.032	142.117	142.083	142.129	142.002	142.088	58.43	40.30	
2014-01-07T07:30:00	142.046	142.152	142.024	142.142	142.011	142.101	141.981	142.083	
40.75	29.65	2014-01-07T07:00:00	142.067	142.148	142.027	142.046	142.009	142.105	
141.986	142.011	21.72	30.12	2014-01-07T06:30:00	142.032	142.076	141.994	142.067	
142.003	142.046	141.966	142.009	26.48	44.28	2014-01-07T06:00:00	142.087	142.117	
142.027	142.032	142.057	142.088	142.000	142.003	42.17	60.70	2014-01-07T05:30:00	
142.152	142.158	141.980	142.087	142.126	142.128	141.951	142.057	64.18	
70.98	2014-01-07T05:00:00	142.188	142.212	142.132	142.152	142.161	142.183	142.103	
142.126	75.74	67.40	2014-01-07T04:30:00	142.190	142.247	142.136	142.188	142.166	
142.217	142.105	142.161	73.01	53.38	2014-01-07T04:00:00	142.167	142.275	142.117	
142.190	142.138	142.248	142.088	142.166	53.44	34.21	2014-01-07T03:30:00	141.984	
142.196	141.954	142.167	141.956	142.165	141.929	142.138	33.68	19.91	
2014-01-07T03:00:00	141.915	142.047	141.886	141.984	141.883	142.017	141.856	141.956	
15.50	13.34	2014-01-07T02:30:00	142.128	142.140	141.748	141.915	142.096	142.112	
141.720	141.883	10.55	19.63	2014-01-07T02:00:00	142.345	142.345	142.082	142.128	
142.316	142.316	142.052	142.096	13.98	36.51	2014-01-07T01:30:00	142.391	142.437	
142.295	142.345	142.363	142.409	142.266	142.316	34.35	58.82	2014-01-07T01:00:00	
142.610	142.698	142.356	142.391	142.582	142.671	142.330	142.363	61.20	
77.68	2014-01-07T00:30:00	142.712	142.796	142.589	142.610	142.682	142.768	142.564	
142.582	80.92	81.84	2014-01-07T00:00:00	142.746	142.752	142.581	142.712	142.651	
142.705	142.548	142.682	90.93	75.16	2014-01-06T23:30:00	142.637	142.762	142.592	
142.746	142.610	142.735	142.563	142.651	73.67	58.00	2014-01-06T23:00:00	142.280	
142.648	142.252	142.637	142.255	142.622	142.222	142.610	60.88	44.72	
2014-01-06T22:30:00	142.310	142.334	142.227	142.280	142.279	142.305	142.200	142.255	
39.45	37.06	2014-01-06T22:00:00	142.280	142.312	142.205	142.310	142.253	142.285	
142.176	142.279	33.83	42.13	2014-01-06T21:30:00	142.258	142.401	142.229	142.280	
142.229	142.380	142.207	142.253	37.88	55.18	2014-01-06T21:00:00	142.338	142.335	
142.209	142.258	142.310	142.309	142.182	142.229	54.69	68.21	2014-01-06T20:30:00	
142.375	142.381	142.254	142.338	142.345	142.352	142.223	142.310	72.97	
76.36	2014-01-06T20:00:00	142.327	142.424	142.317	142.375	142.300	142.397	142.284	
142.345	76.98	80.45	2014-01-06T19:30:00	142.217	142.405	142.221	142.327	142.193	
142.377	142.195	142.300	79.12	83.35	2014-01-06T19:00:00	142.331	142.335	142.212	
142.217	142.302	142.307	142.186	142.193	85.26	86.37	2014-01-06T18:30:00	142.327	
142.407	142.264	142.331	142.298	142.379	142.233	142.302	85.66	84.24	
2014-01-06T18:00:00	142.134	142.358	142.112	142.327	142.103	142.333	142.083	142.298	
88.18	79.51	2014-01-06T17:30:00	142.270	142.320	142.064	142.134	142.243	142.291	
142.040	142.103	78.88	71.35	2014-01-06T17:00:00	141.772	142.290	141.770	142.270	
141.741	142.262	141.742	142.243	71.48	64.09	2014-01-06T16:30:00	141.714	141.781	
141.650	141.772	141.685	141.755	141.619	141.741	63.67	55.93	2014-01-06T16:00:00	
141.790	141.823	141.704	141.714	141.763	141.797	141.677	141.685	57.12	
42.79	2014-01-06T15:30:00	141.711	141.870	141.682	141.790	141.687	141.847	141.653	
141.763	47.00	32.71	2014-01-06T15:00:00	141.646	141.714	141.545	141.711	141.615	
141.689	141.524	141.687	24.25	31.52	2014-01-06T14:30:00	141.635	141.713	141.580	
141.646	141.604	141.685	141.554	141.615	26.88	43.82	2014-01-06T14:00:00	141.784	
141.782	141.615	141.635	141.756	141.758	141.588	141.604	43.42	51.84	
2014-01-06T13:30:00	141.798	141.826	141.688	141.784	141.774	141.798	141.661	141.756	
61.17	49.43	2014-01-06T13:00:00	141.839	141.892	141.778	141.798	141.809	141.867	
141.748	141.774	50.92	36.82	2014-01-06T12:30:00	141.711	141.893	141.705	141.839	
141.683	141.866	141.676	141.809	36.21	25.97	2014-01-06T12:00:00	141.729	141.732	
141.643	141.711	141.702	141.707	141.618	141.683	23.33	17.57	2014-01-06T11:30:00	
141.747	141.798	141.684	141.729	141.722	141.774	141.657	141.702	18.38	
13.80	2014-01-06T11:00:00	141.628	141.764	141.594	141.747	141.601	141.738	141.566	
141.722	11.00	12.84	2014-01-06T10:30:00	142.026	142.060	141.515	141.628	142.000	
142.033	141.487	141.601	12.04	24.04	2014-01-06T10:00:00	142.307	142.310	142.013	
142.026	142.277	142.281	141.981	142.000	15.48	42.80	2014-01-06T09:30:00	142.335	
142.378	142.190	142.307	142.308	142.348	142.163	142.277	44.61	68.99	
2014-01-06T09:00:00	142.651	142.670	142.254	142.335	142.621	142.642	142.222	142.308	
68.30	85.30	2014-01-06T08:30:00	142.601	142.678	142.538	142.651	142.576	142.649	
142.508	142.621	94.05	93.55	2014-01-06T08:00:00	142.622	142.620	142.510	142.601	
142.582	142.593	142.480	142.576	93.56	93.13	2014-01-06T07:30:00	142.534	142.629	
142.489	142.622	142.503	142.590	142.450	142.582	93.03	90.46	2014-01-06T07:00:00	
142.547	142.598	142.502	142.534	142.433	142.533	142.426	142.503	92.81	
87.67	2014-01-04T06:30:00	142.494	142.572	142.413	142.559	142.456	142.488	142.362	
142.460	85.55	85.31	2014-01-04T06:00:00	142.337	142.494	142.321	142.494	142.303	
142.470	142.283	142.456	84.65	85.51	2014-01-04T05:30:00	142.426	142.426	142.320	
142.337	142.396	142.397	142.288	142.303	85.74	80.38	2014-01-04T05:00:00	142.339	
142.471	142.295	142.426	142.310	142.444	142.266	142.396	86.13	66.83	
2014-01-04T04:30:00	142.132	142.340	142.124	142.339	142.106	142.310	142.092	142.310	
69.27	49.84	2014-01-04T04:00:00	142.120	142.171	142.073	142.132	142.090	142.144	
142.041	142.106	45.10	38.79	2014-01-04T03:30:00	142.104	142.141	142.046	142.120	
142.076	142.114	142.017	142.090	35.16	36.46	2014-01-04T03:00:00	142.162	142.170	
141.983	142.104	142.136	142.143	141.952	142.076	36.11	39.99	2014-01-04T02:30:00	
142.183	142.207	142.081	142.162	142.154	142.178	142.051	142.136	38.10	
43.55	2014-01-04T02:00:00	142.130	142.194	142.078	142.183	142.103	142.166	142.048	
142.154	45.76	44.81	2014-01-04T01:30:00	142.280	142.324	142.130	142.130	142.253	
142.300	142.102	142.103	46.78	39.33	2014-01-04T01:00:00	142.227	142.429	142.221	
142.280	142.203	142.403	142.196	142.253	41.90	28.84	2014-01-04T00:30:00	142.097	
142.238	141.998	142.227	142.066	142.222	141.970	142.203	29.32	22.21	
2014-01-04T00:00:00	142.153	142.204	142.002	142.097	142.125	142.176	141.971	142.066	
15.28	22.95	2014-01-03T23:30:00	142.042	142.194	141.984	142.153	142.012	142.166	
141.952	142.125	22.02	34.56	2014-01-03T23:00:00	142.466	142.471	142.019	142.042	
142.438	142.443	141.988	142.012	31.53	48.30	2014-01-03T22:30:00	142.512	142.532	
142.388	142.466	142.491	142.503	142.359	142.438	50.12	58.72	2014-01-03T22:00:00	
142.547	142.583	142.370	142.512	142.520	142.557	142.339	142.491	63.25	
65.25	2014-01-03T21:30:00	142.529	142.713	142.522	142.547	142.501	142.686	142.493	
142.520	62.77	68.94	2014-01-03T21:00:00	142.444	142.537	142.309	142.529	142.413	
142.512	142.279	142.501	69.72	76.70	2014-01-03T20:30:00	142.530	142.562	142.429	
142.444	142.499	142.531	142.402	142.413	74.31	78.87	2014-01-03T20:00:00	142.500	
142.585	142.476	142.530	142.471	142.562	142.446	142.499	86.06	74.62	
2014-01-03T19:30:00	142.481	142.533	142.449	142.500	142.453	142.505	142.422	142.471	
76.25	62.91	2014-01-03T19:00:00	142.374	142.500	142.355	142.481	142.348	142.474	
142.330	142.453	61.55	49.44	2014-01-03T18:30:00	142.362	142.425	142.286	142.374	
142.334	142.398	142.260	142.348	50.94	43.40	2014-01-03T18:00:00	142.394	142.395	
142.270	142.362	142.367	142.366	142.246	142.334	35.83	45.92	2014-01-03T17:30:00	
142.166	142.416	142.097	142.394	142.140	142.391	142.069	142.367	43.42	
60.20	2014-01-03T17:00:00	142.491	142.544	142.144	142.166	142.462	142.516	142.113	
142.140	58.51	67.68	2014-01-03T16:30:00	142.564	142.645	142.488	142.491	142.540	
142.620	142.461	142.462	78.68	62.96	2014-01-03T16:00:00	142.372	142.568	142.336	
142.564	142.342	142.543	142.306	142.540	65.84	46.97	2014-01-03T15:30:00	142.245	
142.428	142.244	142.372	142.218	142.399	142.212	142.342	44.35	35.77	
2014-01-03T15:00:00	142.257	142.320	142.186	142.245	142.229	142.292	142.155	142.218	
30.74	30.87	2014-01-03T14:30:00	142.316	142.320	142.106	142.257	142.285	142.296	
142.078	142.229	32.24	29.66	2014-01-03T14:00:00	142.400	142.412	142.218	142.316	
142.371	142.382	142.191	142.285	29.64	26.96	2014-01-03T13:30:00	142.473	142.507	
142.387	142.400	142.448	142.479	142.354	142.371	27.11	24.27	2014-01-03T13:00:00	
142.427	142.538	142.386	142.473	142.396	142.511	142.358	142.448	24.14	
21.75	2014-01-03T12:30:00	142.536	142.536	142.329	142.427	142.506	142.504	142.298	
142.396	21.58	17.20	2014-01-03T12:00:00	142.455	142.596	142.403	142.536	142.425	
142.567	142.373	142.506	19.54	14.83	2014-01-03T11:30:00	142.670	142.668	142.246	
142.455	142.643	142.640	142.214	142.425	10.50	16.51	2014-01-03T11:00:00	143.088	
143.107	142.587	142.670	143.061	143.079	142.559	142.643	14.45	31.48	
2014-01-03T10:30:00	143.209	143.289	143.088	143.088	143.182	143.259	143.059	143.061	
24.59	51.61	2014-01-03T10:00:00	143.210	143.237	143.159	143.209	143.187	143.214	
143.127	143.182	55.38	72.18	2014-01-03T09:30:00	143.295	143.330	143.210	143.210	
143.268	143.303	143.182	143.187	74.84	81.44	2014-01-03T09:00:00	143.290	143.300	
143.228	143.295	143.259	143.274	143.201	143.268	86.31	81.56	2014-01-03T08:30:00	
143.252	143.310	143.251	143.290	143.225	143.280	143.221	143.259	83.17	
79.23	2014-01-03T08:00:00	143.279	143.309	143.183	143.252	143.234	143.278	143.155	
143.225	75.19	77.05	2014-01-03T07:30:00	143.251	143.282	143.161	143.279	143.163	
143.237	143.104	143.234	79.34	77.83	2014-01-03T07:00:00	143.332	143.369	143.194	
143.251	143.233	143.252	143.113	143.163	76.62	71.13	2014-01-03T06:30:00	143.119	
143.343	143.067	143.332	143.085	143.285	143.034	143.233	77.51	58.96	
2014-01-03T06:00:00	143.146	143.194	143.117	143.119	143.121	143.167	143.085	143.085	
59.26	40.20	2014-01-03T05:30:00	143.038	143.161	142.999	143.146	143.008	143.132	
142.971	143.121	40.12	24.74	2014-01-03T05:00:00	142.958	143.074	142.961	143.038	
142.929	143.046	142.929	143.008	21.23	15.64	2014-01-03T04:30:00	142.939	143.058	
142.863	142.958	142.913	143.029	142.831	142.929	12.87	19.74	2014-01-03T04:00:00	
143.084	143.148	142.876	142.939	143.057	143.117	142.850	142.913	12.81	
32.21	2014-01-03T03:30:00	143.269	143.280	143.049	143.084	143.237	143.255	143.024	
143.057	33.55	50.29	2014-01-03T03:00:00	143.387	143.382	143.222	143.269	143.356	
143.355	143.194	143.237	50.28	61.03	2014-01-03T02:30:00	143.275	143.399	143.207	
143.387	143.249	143.370	143.178	143.356	67.05	66.94	2014-01-03T02:00:00	143.331	
143.411	143.241	143.275	143.308	143.387	143.212	143.249	65.76	60.75	
2014-01-03T01:30:00	143.345	143.429	143.302	143.331	143.319	143.403	143.273	143.308	
68.00	48.09	2014-01-03T01:00:00	143.459	143.537	143.332	143.345	143.428	143.506	
143.305	143.319	48.50	27.88	2014-01-03T00:30:00	143.000	143.461	142.961	143.459	
142.975	143.436	142.930	143.428	27.77	13.68	2014-01-03T00:00:00	143.142	143.269	
142.906	143.000	143.057	143.242	142.881	142.975	7.36	5.57	2014-01-02T23:30:00	
143.243	143.292	142.998	143.142	143.215	143.268	142.970	143.057	5.91	
4.88	2014-01-02T23:00:00	143.501	143.524	143.197	143.243	143.472	143.494	143.167	
143.215	3.45	4.73	2014-01-02T22:30:00	143.659	143.743	143.452	143.501	143.595	
143.715	143.421	143.472	5.30	6.15	2014-01-02T22:00:00	143.842	143.860	143.636	
143.659	143.816	143.836	143.590	143.595	5.45	6.91	2014-01-02T21:30:00	144.088	
144.104	143.758	143.842	144.060	144.076	143.725	143.816	7.70	12.10	
2014-01-02T21:00:00	144.295	144.292	144.047	144.088	144.266	144.264	144.021	144.060	
7.58	17.38	2014-01-02T20:30:00	144.304	144.380	144.265	144.295	144.279	144.351	
144.236	144.266	21.01	27.15	2014-01-02T20:00:00	144.650	144.650	144.255	144.304	
144.630	144.639	144.226	144.279	23.57	32.10	2014-01-02T19:30:00	144.569	144.672	
144.564	144.650	144.540	144.641	144.535	144.630	36.88	38.11	2014-01-02T19:00:00	
144.684	144.704	144.530	144.569	144.653	144.677	144.502	144.540	35.84	
34.52	2014-01-02T18:30:00	144.677	144.810	144.631	144.684	144.648	144.780	144.604	
144.653	41.61	29.53	2014-01-02T18:00:00	144.639	144.783	144.613	144.677	144.613	
144.756	144.589	144.648	26.10	25.16	2014-01-02T17:30:00	144.538	144.748	144.530	
144.639	144.509	144.725	144.501	144.613	20.87	29.44	2014-01-02T17:00:00	144.700	
144.718	144.521	144.538	144.679	144.694	144.498	144.509	28.52	36.72	
2014-01-02T16:30:00	144.830	144.839	144.633	144.700	144.805	144.811	144.602	144.679	
38.93	40.80	2014-01-02T16:00:00	144.841	144.869	144.766	144.830	144.813	144.846	
144.738	144.805	42.71	42.60	2014-01-02T15:30:00	144.868	144.873	144.761	144.841	
144.840	144.855	144.737	144.813	40.76	49.32	2014-01-02T15:00:00	144.888	144.892	
144.828	144.868	144.859	144.867	144.801	144.840	44.32	61.57	2014-01-02T14:30:00	
144.813	144.908	144.792	144.888	144.783	144.883	144.761	144.859	62.89	
76.40	2014-01-02T14:00:00	145.045	144.816	144.743	144.813	145.011	144.787	144.709	
144.783	77.51	84.18	2014-01-01T02:00:00	145.033	145.045	145.026	145.045	145.003	
145.013	144.995	145.011	88.81	82.77	2014-01-01T01:30:00	144.817	145.077	144.782	
145.033	144.789	145.047	144.762	145.003	86.22	70.14	2014-01-01T01:00:00	144.851	
144.852	144.708	144.817	144.828	144.827	144.676	144.789	73.26	49.39	
2014-01-01T00:30:00	144.613	144.916	144.601	144.851	144.581	144.894	144.568	144.828	
50.95	29.55	2014-01-01T00:00:00	144.560	144.622	144.433	144.613	144.496	144.591	
144.399	144.581	23.95	22.30	2013-12-31T23:30:00	144.513	144.577	144.492	144.560	
144.484	144.547	144.464	144.496	13.76	25.36	2013-12-31T23:00:00	144.566	144.617	
144.500	144.513	144.532	144.587	144.471	144.484	29.18	36.59	2013-12-31T22:30:00	
144.649	144.761	144.526	144.566	144.623	144.732	144.496	144.532	33.13	
37.28	2013-12-31T22:00:00	144.541	144.765	144.497	144.649	144.514	144.734	144.469	
144.623	47.47	36.08	2013-12-31T21:30:00	144.654	144.690	144.527	144.541	144.624	
144.661	144.496	144.514	31.25	23.32	2013-12-31T21:00:00	144.523	144.657	144.505	
144.654	144.497	144.632	144.475	144.624	29.52	18.04	2013-12-31T20:30:00	144.543	
144.600	144.519	144.523	144.511	144.571	144.489	144.497	9.17	13.12	
2013-12-31T20:00:00	144.521	144.607	144.518	144.543	144.495	144.579	144.487	144.511	
15.44	18.44	2013-12-31T19:30:00	144.596	144.727	144.518	144.521	144.569	144.698	
144.489	144.495	14.74	24.34	2013-12-31T19:00:00	144.568	144.639	144.489	144.596	
144.540	144.613	144.476	144.569	25.13	31.59	2013-12-31T18:30:00	144.646	144.685	
144.555	144.568	144.619	144.655	144.524	144.540	33.14	32.24	2013-12-31T18:00:00	
144.769	144.789	144.539	144.646	144.743	144.761	144.510	144.619	36.49	
26.90	2013-12-31T17:30:00	144.744	144.831	144.723	144.769	144.715	144.805	144.692	
144.743	27.10	18.37	2013-12-31T17:00:00	144.731	144.787	144.706	144.744	144.700	
144.758	144.675	144.715	17.11	16.73	2013-12-31T16:30:00	144.768	144.785	144.712	
144.731	144.737	144.763	144.681	144.700	10.89	25.35	2013-12-31T16:00:00	144.734	
144.774	144.718	144.768	144.706	144.757	144.691	144.737	22.18	44.65	
2013-12-31T15:30:00	144.795	144.827	144.732	144.734	144.764	144.800	144.703	144.706	
42.99	66.40	2013-12-31T15:00:00	144.890	144.896	144.771	144.795	144.861	144.873	
144.742	144.764	68.77	79.98	2013-12-31T14:30:00	144.866	144.925	144.866	144.890	
144.840	144.897	144.838	144.861	87.43	78.16	2013-12-31T14:00:00	144.891	144.920	
144.854	144.866	144.863	144.893	144.827	144.840	83.75	61.24	2013-12-31T13:30:00	
144.794	144.895	144.778	144.891	144.771	144.866	144.751	144.863	63.28	
37.37	2013-12-31T13:00:00	144.711	144.797	144.695	144.794	144.685	144.771	144.665	
144.771	36.70	19.61	2013-12-31T12:30:00	144.731	144.732	144.692	144.711	144.700	
144.702	144.661	144.685	12.12	9.04	2013-12-31T12:00:00	144.679	144.749	144.674	
144.731	144.645	144.719	144.642	144.700	10.02	11.64	2013-12-31T11:30:00	144.805	
144.822	144.676	144.679	144.774	144.793	144.645	144.645	4.98	20.81	
2013-12-31T11:00:00	144.801	144.845	144.784	144.805	144.771	144.817	144.752	144.774	
19.93	34.48	2013-12-31T10:30:00	144.918	144.918	144.793	144.801	144.887	144.888	
144.764	144.771	37.51	41.25	2013-12-31T10:00:00	144.967	144.977	144.882	144.918	
144.935	144.949	144.850	144.887	46.01	40.36	2013-12-31T09:30:00	144.876	144.975	
144.858	144.967	144.848	144.946	144.832	144.935	40.22	38.37	2013-12-31T09:00:00	
144.886	144.899	144.800	144.876	144.850	144.865	144.770	144.848	34.85	
40.65	2013-12-31T08:30:00	144.960	144.969	144.843	144.886	144.925	144.945	144.806	
144.850	40.04	43.73	2013-12-31T08:00:00	144.987	145.075	144.877	144.960	144.914	
145.031	144.851	144.925	47.06	45.11	2013-12-31T07:30:00	145.093	145.093	144.791	
144.987	145.031	145.040	144.749	144.914	44.09	42.15	2013-12-31T07:00:00	145.135	
145.169	145.070	145.093	145.015	145.087	144.989	145.031	44.20	37.51	
2013-12-31T06:30:00	145.058	145.135	145.053	145.135	145.020	145.117	145.015	145.015	
38.18	31.60	2013-12-31T06:00:00	145.031	145.061	145.000	145.058	145.003	145.029	
144.974	145.020	30.15	30.29	2013-12-31T05:30:00	145.044	145.046	144.976	145.031	
145.015	145.017	144.950	145.003	26.46	35.11	2013-12-31T05:00:00	145.066	145.091	
145.024	145.044	145.037	145.066	144.996	145.015	34.24	41.89	2013-12-31T04:30:00	
145.088	145.117	145.060	145.066	145.063	145.089	145.028	145.037	44.61	
42.94	2013-12-31T04:00:00	145.095	145.131	145.075	145.088	145.066	145.105	145.050	
145.063	46.82	39.98	2013-12-31T03:30:00	145.090	145.150	145.088	145.095	145.060	
145.124	145.059	145.066	37.38	37.48	2013-12-31T03:00:00	145.033	145.115	145.025	
145.090	145.001	145.089	144.999	145.060	35.74	43.25	2013-12-31T02:30:00	145.062	
145.084	145.021	145.033	145.034	145.059	144.992	145.001	39.31	54.38	
2013-12-31T02:00:00	145.085	145.133	145.026	145.062	145.056	145.104	145.002	145.034	
54.69	65.70	2013-12-31T01:30:00	145.118	145.182	145.076	145.085	145.092	145.153	
145.047	145.056	69.13	74.26	2013-12-31T01:00:00	145.104	145.183	145.076	145.118	
145.077	145.159	145.045	145.092	73.28	78.20	2013-12-31T00:30:00	145.046	145.108	
144.976	145.104	145.021	145.083	144.947	145.077	80.37	81.54	2013-12-31T00:00:00	
145.084	145.135	145.027	145.046	145.070	145.107	145.001	145.021	80.96	
80.39	2013-12-30T23:30:00	145.060	145.108	145.016	145.084	145.031	145.088	144.989	
145.070	83.28	78.36	2013-12-30T23:00:00	144.967	145.102	144.953	145.060	144.942	
145.077	144.923	145.031	76.94	77.89	2013-12-30T22:30:00	144.964	145.093	144.943	
144.967	144.939	145.065	144.915	144.942	74.87	77.70	2013-12-30T22:00:00	144.911	
145.075	144.897	144.964	144.886	145.044	144.869	144.939	81.87	74.59	
2013-12-30T21:30:00	144.899	144.975	144.863	144.911	144.869	144.947	144.836	144.886	
76.37	66.57	2013-12-30T21:00:00	144.772	144.918	144.773	144.899	144.745	144.889	
144.745	144.869	65.52	57.73	2013-12-30T20:30:00	144.760	144.784	144.673	144.772	
144.730	144.758	144.643	144.745	57.83	50.62	2013-12-30T20:00:00	144.795	144.840	
144.733	144.760	144.767	144.813	144.707	144.730	49.84	39.09	2013-12-30T19:30:00	
144.782	144.851	144.726	144.795	144.753	144.821	144.698	144.767	44.18	
30.29	2013-12-30T19:00:00	144.777	144.840	144.744	144.782	144.752	144.814	144.715	
144.753	23.24	22.30	2013-12-30T18:30:00	144.703	144.845	144.676	144.777	144.676	
144.816	144.648	144.752	23.46	30.89	2013-12-30T18:00:00	144.815	144.813	144.681	
144.703	144.790	144.788	144.656	144.676	20.20	45.65	2013-12-30T17:30:00	144.764	
144.817	144.716	144.815	144.736	144.794	144.687	144.790	49.01	68.59	
2013-12-30T17:00:00	144.982	144.990	144.748	144.764	144.958	144.963	144.717	144.736	
67.75	80.26	2013-12-30T16:30:00	144.878	145.018	144.874	144.982	144.853	144.990	
144.845	144.958	89.02	83.43	2013-12-30T16:00:00	144.785	144.914	144.741	144.878	
144.757	144.887	144.712	144.853	84.02	71.25	2013-12-30T15:30:00	144.765	144.803	
144.724	144.785	144.739	144.778	144.694	144.757	77.25	55.03	2013-12-30T15:00:00	
144.722	144.824	144.700	144.765	144.700	144.797	144.670	144.739	52.48	
36.05	2013-12-30T14:30:00	144.598	144.740	144.597	144.722	144.571	144.717	144.568	
144.700	35.37	26.59	2013-12-30T14:00:00	144.710	144.701	144.566	144.598	144.680	
144.673	144.540	144.571	20.29	22.14	2013-12-30T13:30:00	144.709	144.725	144.695	
144.710	144.678	144.697	144.665	144.680	24.10	24.86	2013-12-30T13:00:00	144.696	
144.732	144.678	144.709	144.671	144.707	144.651	144.678	22.03	29.47	
2013-12-30T12:30:00	144.795	144.797	144.647	144.696	144.767	144.769	144.616	144.671	
28.45	37.75	2013-12-30T12:00:00	144.855	144.874	144.770	144.795	144.824	144.846	
144.747	144.767	37.93	45.79	2013-12-30T11:30:00	144.858	144.887	144.781	144.855	
144.829	144.861	144.770	144.824	46.87	51.48	2013-12-30T11:00:00	144.848	144.897	
144.836	144.858	144.818	144.868	144.811	144.829	52.56	50.90	2013-12-30T10:30:00	
144.897	144.901	144.754	144.848	144.866	144.871	144.722	144.818	55.01	
48.70	2013-12-30T10:00:00	144.892	144.975	144.849	144.897	144.863	144.948	144.819	
144.866	45.12	45.75	2013-12-30T09:30:00	144.725	145.023	144.718	144.892	144.693	
144.998	144.688	144.863	45.98	53.84	2013-12-30T09:00:00	144.818	144.836	144.692	
144.725	144.793	144.821	144.660	144.693	46.17	65.29	2013-12-30T08:30:00	144.783	
144.852	144.747	144.818	144.759	144.831	144.715	144.793	69.36	80.83	
2013-12-30T08:00:00	144.988	144.973	144.763	144.783	144.933	144.932	144.731	144.759	
80.35	82.44	2013-12-30T07:30:00	144.945	145.047	144.870	144.988	144.915	145.014	
144.828	144.933	92.77	73.26	2013-12-30T07:00:00	144.627	144.983	144.681	144.945	
144.458	144.935	144.627	144.915	74.19	52.28	2013-12-28T06:30:00	144.504	144.627	
144.462	144.627	144.463	144.549	144.408	144.540	52.81	34.48	2013-12-28T06:00:00	
144.527	144.542	144.464	144.504	144.495	144.506	144.432	144.463	29.85	
21.56	2013-12-28T05:30:00	144.507	144.527	144.460	144.527	144.478	144.498	144.431	
144.495	20.76	20.60	2013-12-28T05:00:00	144.410	144.526	144.395	144.507	144.378	
144.498	144.365	144.478	14.06	32.10	2013-12-28T04:30:00	144.464	144.516	144.388	
144.410	144.438	144.489	144.362	144.378	26.97	49.93	2013-12-28T04:00:00	144.715	
144.720	144.417	144.464	144.690	144.689	144.387	144.438	55.27	58.67	
2013-12-28T03:30:00	144.792	144.799	144.673	144.715	144.766	144.773	144.647	144.690	
67.54	50.78	2013-12-28T03:00:00	144.664	144.833	144.661	144.792	144.636	144.803	
144.632	144.766	53.19	36.23	2013-12-28T02:30:00	144.596	144.741	144.596	144.664	
144.565	144.713	144.566	144.636	31.61	24.20	2013-12-28T02:00:00	144.613	144.661	
144.506	144.596	144.585	144.634	144.480	144.565	23.89	17.23	2013-12-28T01:30:00	
144.646	144.689	144.546	144.613	144.628	144.663	144.524	144.585	17.09	
11.72	2013-12-28T01:00:00	144.596	144.668	144.510	144.646	144.571	144.640	144.484	
144.628	10.70	8.47	2013-12-28T00:30:00	144.748	144.823	144.587	144.596	144.727	
144.798	144.563	144.571	7.36	8.83	2013-12-28T00:00:00	144.831	144.891	144.727	
144.748	144.805	144.867	144.699	144.727	7.34	13.11	2013-12-27T23:30:00	144.892	
144.934	144.738	144.831	144.864	144.908	144.710	144.805	11.78	24.19	
2013-12-27T23:00:00	145.022	145.066	144.888	144.892	145.000	145.040	144.856	144.864	
20.22	37.29	2013-12-27T22:30:00	145.108	145.111	144.963	145.022	145.080	145.082	
144.940	145.000	40.57	51.25	2013-12-27T22:00:00	145.319	145.327	144.971	145.108	
145.288	145.300	144.946	145.080	51.09	62.08	2013-12-27T21:30:00	145.152	145.338	
145.137	145.319	145.128	145.308	145.107	145.288	62.09	73.27	2013-12-27T21:00:00	
145.404	145.423	145.124	145.152	145.376	145.395	145.101	145.128	73.04	
