日時	"AUD/CAD(始値, 買い)"	"AUD/CAD(高値, 買い)"	"AUD/CAD(安値, 買い)"	"AUD/CAD(終値, 買い)"	"AUD/CAD(始値, 売り)*"	"AUD/CAD(高値, 売り)*"	"AUD/CAD(安値, 売り)*"	"AUD/CAD(終値, 売り)*"
2013/02/05 17:00:00	1.04257	1.04400	1.03414	1.03454	1.04240	1.04357	1.03403	1.03434
2013/02/04 17:00:00	1.03970	1.04290	1.03705	1.04257	1.03910	1.04284	1.03697	1.04240
2013/02/01 17:00:00	1.03991	1.04135	1.03451	1.03751	1.03981	1.04131	1.03450	1.03693
2013/01/31 17:00:00	1.04299	1.04557	1.03934	1.03991	1.04283	1.04547	1.03914	1.03981
2013/01/30 17:00:00	1.04845	1.04969	1.04222	1.04299	1.04819	1.04962	1.04214	1.04283
2013/01/29 17:00:00	1.04827	1.05204	1.04692	1.04845	1.04815	1.05201	1.04668	1.04819
2013/01/28 17:00:00	1.04901	1.05164	1.04653	1.04827	1.04819	1.05158	1.04650	1.04815
2013/01/25 17:00:00	1.04771	1.05367	1.04688	1.04901	1.04761	1.05364	1.04642	1.04819
2013/01/24 17:00:00	1.05473	1.05521	1.04713	1.04771	1.05457	1.05465	1.04688	1.04761
2013/01/23 17:00:00	1.04832	1.05481	1.04522	1.05473	1.04811	1.05470	1.04514	1.05457
2013/01/22 17:00:00	1.04434	1.05047	1.04325	1.04832	1.04399	1.05043	1.04316	1.04811
2013/01/21 17:00:00	1.04256	1.04560	1.04144	1.04434	1.04190	1.04554	1.04127	1.04399
2013/01/18 17:00:00	1.03965	1.04351	1.03724	1.04256	1.03952	1.04350	1.03715	1.04190
2013/01/17 17:00:00	1.04231	1.04326	1.03614	1.03965	1.04222	1.04282	1.03607	1.03952
2013/01/16 17:00:00	1.03998	1.04268	1.03914	1.04231	1.03987	1.04264	1.03902	1.04222
2013/01/15 17:00:00	1.03968	1.04043	1.03709	1.03998	1.03929	1.04029	1.03703	1.03987
2013/01/14 17:00:00	1.03853	1.04215	1.03633	1.03968	1.03807	1.04211	1.03610	1.03929
2013/01/11 17:00:00	1.04225	1.04317	1.03625	1.03853	1.04216	1.04241	1.03620	1.03807
2013/01/10 17:00:00	1.03876	1.04424	1.03685	1.04225	1.03861	1.04418	1.03679	1.04216
2013/01/09 17:00:00	1.03640	1.03916	1.03535	1.03876	1.03624	1.03911	1.03528	1.03861
2013/01/08 17:00:00	1.03556	1.03688	1.03370	1.03640	1.03540	1.03672	1.03365	1.03624
2013/01/07 17:00:00	1.03495	1.03705	1.03280	1.03556	1.03457	1.03690	1.03274	1.03540
2013/01/04 17:00:00	1.03387	1.03556	1.02865	1.03495	1.03369	1.03549	1.02864	1.03457
2013/01/03 17:00:00	1.03480	1.03739	1.03343	1.03387	1.03487	1.03737	1.03335	1.03369
2013/01/02 17:00:00	1.03405	1.03616	1.03146	1.03480	1.03421	1.03605	1.03138	1.03487
2012/12/31 17:00:00	1.03449	1.03616	1.03113	1.03405	1.03403	1.03609	1.03104	1.03421
2012/12/28 17:00:00	1.03312	1.03459	1.03076	1.03449	1.03278	1.03443	1.03070	1.03403
2012/12/27 17:00:00	1.03160	1.03313	1.02710	1.03312	1.03141	1.03285	1.02699	1.03278
2012/12/26 17:00:00	1.02815	1.03195	1.02779	1.03160	1.02795	1.03181	1.02753	1.03141
2012/12/24 17:00:00	1.03407	1.03489	1.02791	1.02815	1.03341	1.03483	1.02772	1.02795
2012/12/21 17:00:00	1.03554	1.03748	1.03245	1.03407	1.03539	1.03743	1.03241	1.03341
2012/12/20 17:00:00	1.03636	1.03841	1.03439	1.03554	1.03623	1.03835	1.03436	1.03539
2012/12/19 17:00:00	1.03855	1.03875	1.03453	1.03636	1.03831	1.03839	1.03445	1.03623
2012/12/18 17:00:00	1.03810	1.03887	1.03584	1.03855	1.03795	1.03873	1.03581	1.03831
2012/12/17 17:00:00	1.04206	1.04250	1.03682	1.03810	1.04160	1.04221	1.03680	1.03795
2012/12/14 17:00:00	1.03683	1.04292	1.03505	1.04206	1.03671	1.04287	1.03497	1.04160
2012/12/13 17:00:00	1.03918	1.03944	1.03549	1.03683	1.03903	1.03919	1.03545	1.03671
2012/12/12 17:00:00	1.03859	1.04065	1.03794	1.03918	1.03834	1.04061	1.03789	1.03903
2012/12/11 17:00:00	1.03502	1.03895	1.03272	1.03859	1.03480	1.03891	1.03268	1.03834
2012/12/10 17:00:00	1.03758	1.03767	1.03365	1.03502	1.03678	1.03764	1.03358	1.03480
2012/12/07 17:00:00	1.03953	1.04047	1.03406	1.03758	1.03931	1.04003	1.03400	1.03678
2012/12/06 17:00:00	1.03741	1.04132	1.03594	1.03953	1.03719	1.04129	1.03587	1.03931
2012/12/05 17:00:00	1.03993	1.04079	1.03615	1.03741	1.03982	1.04044	1.03609	1.03719
2012/12/04 17:00:00	1.03704	1.04290	1.03645	1.03993	1.03682	1.04289	1.03595	1.03982
2012/12/03 17:00:00	1.03728	1.03746	1.03233	1.03704	1.03649	1.03725	1.03238	1.03682
2012/11/30 17:00:00	1.03612	1.03733	1.03383	1.03728	1.03579	1.03709	1.03378	1.03649
2012/11/29 17:00:00	1.03957	1.04026	1.03474	1.03612	1.03929	1.03956	1.03469	1.03579
2012/11/28 17:00:00	1.03898	1.04074	1.03754	1.03957	1.03885	1.04070	1.03745	1.03929
2012/11/27 17:00:00	1.03963	1.04116	1.03733	1.03898	1.03956	1.04110	1.03726	1.03885
2012/11/26 17:00:00	1.03939	1.04079	1.03705	1.03963	1.03758	1.04075	1.03700	1.03956
2012/11/23 17:00:00	1.03661	1.03939	1.03544	1.03939	1.03555	1.03905	1.03522	1.03758
2012/11/22 17:00:00	1.03327	1.03750	1.03186	1.03661	1.03313	1.03747	1.03180	1.03555
2012/11/21 17:00:00	1.03590	1.03624	1.03135	1.03327	1.03566	1.03601	1.03129	1.03313
2012/11/20 17:00:00	1.03764	1.03859	1.03346	1.03590	1.03719	1.03847	1.03345	1.03566
2012/11/19 17:00:00	1.03540	1.03865	1.03540	1.03764	1.03514	1.03866	1.03514	1.03719
2012/11/16 17:00:00	1.03444	1.03604	1.03270	1.03540	1.03428	1.03588	1.03273	1.03514
2012/11/15 17:00:00	1.04165	1.04238	1.03348	1.03444	1.04134	1.04134	1.03340	1.03428
2012/11/14 17:00:00	1.04622	1.04711	1.04062	1.04165	1.04607	1.04701	1.04054	1.04134
2012/11/13 17:00:00	1.04276	1.04638	1.04007	1.04622	1.04257	1.04636	1.04000	1.04607
2012/11/12 17:00:00	1.04031	1.04393	1.03907	1.04276	1.03991	1.04392	1.03871	1.04257
2012/11/09 17:00:00	1.04114	1.04235	1.03822	1.04031	1.04078	1.04231	1.03818	1.03991
2012/11/08 17:00:00	1.03784	1.04291	1.03600	1.04114	1.03759	1.04284	1.03572	1.04078
2012/11/07 17:00:00	1.03538	1.03864	1.03338	1.03784	1.03500	1.03860	1.03330	1.03759
2012/11/06 17:00:00	1.03302	1.03885	1.03298	1.03538	1.03266	1.03881	1.03184	1.03500
2012/11/05 17:00:00	1.02967	1.03358	1.02916	1.03302	1.02926	1.03350	1.02830	1.03266
2012/11/02 17:00:00	1.03689	1.03842	1.02858	1.02967	1.03659	1.03833	1.02851	1.02926
2012/11/01 17:00:00	1.03755	1.03893	1.03555	1.03689	1.03740	1.03890	1.03544	1.03659
2012/10/31 17:00:00	1.03624	1.03907	1.03527	1.03755	1.03562	1.03904	1.03493	1.03740
2012/10/30 17:00:00	1.03450	1.03870	1.03370	1.03624	1.03429	1.03867	1.03358	1.03562
2012/10/29 17:00:00	1.03485	1.03576	1.03320	1.03450	1.03426	1.03575	1.03318	1.03429
2012/10/26 17:00:00	1.02982	1.03550	1.02663	1.03485	1.02941	1.03541	1.02657	1.03426
2012/10/25 17:00:00	1.02918	1.03131	1.02817	1.02982	1.02900	1.03122	1.02740	1.02941
2012/10/24 17:00:00	1.01899	1.03072	1.01841	1.02918	1.01881	1.03067	1.01807	1.02900
2012/10/23 17:00:00	1.02447	1.02566	1.01625	1.01899	1.02411	1.02555	1.01619	1.01881
2012/10/22 17:00:00	1.02656	1.02844	1.02346	1.02447	1.02624	1.02841	1.02347	1.02411
2012/10/19 17:00:00	1.02150	1.02663	1.02075	1.02656	1.02132	1.02657	1.02016	1.02624
2012/10/18 17:00:00	1.01568	1.02248	1.01401	1.02150	1.01551	1.02241	1.01373	1.02132
2012/10/17 17:00:00	1.01374	1.01962	1.01340	1.01568	1.01365	1.01959	1.01280	1.01551
2012/10/16 17:00:00	1.00571	1.01501	1.00489	1.01374	1.00549	1.01503	1.00472	1.01365
2012/10/15 17:00:00	1.00255	1.00583	1.00025	1.00571	1.00247	1.00560	1.00019	1.00549
