日時	"EUR/AUD(始値, 買い)"	"EUR/AUD(高値, 買い)"	"EUR/AUD(安値, 買い)"	"EUR/AUD(終値, 買い)"	"EUR/AUD(始値, 売り)*"	"EUR/AUD(高値, 売り)*"	"EUR/AUD(安値, 売り)*"	"EUR/AUD(終値, 売り)*"
2012/02/07 17:00:00	1.22432	1.22846	1.21338	1.22715	1.22391	1.22841	1.21331	1.22651
2012/02/06 17:00:00	1.22258	1.22478	1.21817	1.22432	1.22089	1.22457	1.21806	1.22391
2012/02/03 17:00:00	1.22720	1.23254	1.21689	1.22258	1.22670	1.23199	1.21678	1.22089
2012/02/02 17:00:00	1.22927	1.23031	1.22349	1.22720	1.22916	1.23014	1.22340	1.22670
2012/02/01 17:00:00	1.23188	1.23419	1.22736	1.22927	1.23156	1.23410	1.22729	1.22916
2012/01/31 17:00:00	1.24030	1.24198	1.23148	1.23188	1.23977	1.24192	1.23142	1.23156
2012/01/30 17:00:00	1.24064	1.24780	1.23795	1.24030	1.24005	1.24771	1.23777	1.23977
2012/01/27 17:00:00	1.23326	1.24296	1.22952	1.24064	1.23289	1.24287	1.22945	1.24005
2012/01/26 17:00:00	1.23707	1.23785	1.23146	1.23326	1.23633	1.23770	1.23136	1.23289
2012/01/25 17:00:00	1.24233	1.24892	1.23492	1.23707	1.24223	1.24805	1.23484	1.23633
2012/01/24 17:00:00	1.23706	1.24546	1.23601	1.24233	1.23576	1.24541	1.23551	1.24223
2012/01/23 17:00:00	1.23440	1.23807	1.22737	1.23706	1.23255	1.23797	1.22709	1.23576
2012/01/20 17:00:00	1.24495	1.24650	1.23316	1.23440	1.24441	1.24641	1.23255	1.23255
2012/01/19 17:00:00	1.23269	1.24547	1.23269	1.24495	1.23240	1.24535	1.23218	1.24441
2012/01/18 17:00:00	1.22760	1.23747	1.22687	1.23269	1.22724	1.23739	1.22676	1.23240
2012/01/17 17:00:00	1.22831	1.22955	1.22287	1.22760	1.22775	1.22921	1.22270	1.22724
2012/01/16 17:00:00	1.22827	1.23280	1.22628	1.22831	1.22774	1.23271	1.22617	1.22775
2012/01/13 17:00:00	1.24037	1.24479	1.22672	1.22827	1.23996	1.24475	1.22635	1.22774
2012/01/12 17:00:00	1.23262	1.24411	1.23001	1.24037	1.23237	1.24409	1.22988	1.23996
2012/01/11 17:00:00	1.23924	1.24074	1.23158	1.23262	1.23863	1.24064	1.23147	1.23237
2012/01/10 17:00:00	1.24681	1.24775	1.23626	1.23924	1.24621	1.24742	1.23615	1.23863
2012/01/09 17:00:00	1.24389	1.25058	1.24252	1.24681	1.24201	1.25058	1.24201	1.24621
2012/01/06 17:00:00	1.24647	1.25089	1.24216	1.24389	1.24567	1.25082	1.24200	1.24201
2012/01/05 17:00:00	1.24879	1.25465	1.24467	1.24647	1.24781	1.25460	1.24454	1.24567
2012/01/04 17:00:00	1.25763	1.26216	1.24783	1.24879	1.25725	1.26206	1.24769	1.24781
2012/01/03 17:00:00	1.26443	1.26443	1.25690	1.25763	1.26315	1.26346	1.25673	1.25725
2012/01/02 17:00:00	1.27207	1.27207	1.26292	1.26443	1.27015	1.27060	1.26227	1.26315
2011/12/30 17:00:00	1.27879	1.27924	1.26333	1.27207	1.27824	1.27871	1.26314	1.27015
2011/12/29 17:00:00	1.28224	1.28437	1.27596	1.27879	1.28186	1.28403	1.27578	1.27824
2011/12/28 17:00:00	1.28724	1.28918	1.27727	1.28224	1.28618	1.28891	1.27709	1.28186
2011/12/27 17:00:00	1.28473	1.29173	1.28331	1.28724	1.28361	1.28873	1.28288	1.28618
2011/12/26 17:00:00	1.28666	1.28776	1.28392	1.28473	1.28493	1.28714	1.28281	1.28361
2011/12/23 17:00:00	1.28860	1.28957	1.28385	1.28666	1.28797	1.28943	1.28364	1.28493
2011/12/22 17:00:00	1.29157	1.29594	1.28548	1.28860	1.29105	1.29581	1.28538	1.28797
2011/12/21 17:00:00	1.29803	1.30039	1.28648	1.29157	1.29764	1.30001	1.28637	1.29105
2011/12/20 17:00:00	1.31359	1.31406	1.29741	1.29803	1.31304	1.31353	1.29723	1.29764
2011/12/19 17:00:00	1.30805	1.31520	1.30559	1.31359	1.30617	1.31510	1.30478	1.31304
2011/12/16 17:00:00	1.31234	1.31252	1.30133	1.30805	1.31181	1.31222	1.30127	1.30617
2011/12/15 17:00:00	1.31031	1.31664	1.30498	1.31234	1.30993	1.31656	1.30499	1.31181
2011/12/14 17:00:00	1.30222	1.31224	1.29967	1.31031	1.30141	1.31220	1.29959	1.30993
2011/12/13 17:00:00	1.30930	1.31229	1.29660	1.30222	1.30885	1.31222	1.29657	1.30141
2011/12/12 17:00:00	1.31021	1.31567	1.30754	1.30930	1.30981	1.31559	1.30747	1.30885
2011/12/09 17:00:00	1.31242	1.32277	1.30793	1.31021	1.31185	1.32267	1.30775	1.30981
2011/12/08 17:00:00	1.30297	1.31401	1.29629	1.31242	1.30280	1.31412	1.29618	1.31185
2011/12/07 17:00:00	1.30837	1.31032	1.30210	1.30297	1.30812	1.30971	1.30200	1.30280
2011/12/06 17:00:00	1.30467	1.31522	1.30461	1.30837	1.30445	1.31516	1.30396	1.30812
2011/12/05 17:00:00	1.31280	1.31362	1.30264	1.30467	1.31260	1.31357	1.30253	1.30445
2011/12/02 17:00:00	1.31440	1.31904	1.30700	1.31280	1.31416	1.31889	1.30698	1.31260
2011/12/01 17:00:00	1.30809	1.32320	1.30750	1.31440	1.30727	1.32307	1.30695	1.31416
2011/11/30 17:00:00	1.33149	1.33571	1.30617	1.30809	1.33122	1.33567	1.30605	1.30727
2011/11/29 17:00:00	1.34503	1.34739	1.32816	1.33149	1.34473	1.34729	1.32805	1.33122
2011/11/28 17:00:00	1.36432	1.36432	1.34168	1.34503	1.36411	1.36411	1.34158	1.34473
2011/11/25 17:00:00	1.37183	1.37566	1.35836	1.36432	1.37035	1.37555	1.35827	1.36411
2011/11/24 17:00:00	1.37749	1.37861	1.36867	1.37183	1.37711	1.37838	1.36859	1.37035
2011/11/23 17:00:00	1.37342	1.38099	1.37227	1.37749	1.37324	1.38092	1.37213	1.37711
2011/11/22 17:00:00	1.37104	1.37513	1.36592	1.37342	1.37037	1.37510	1.36578	1.37324
2011/11/21 17:00:00	1.35082	1.37521	1.35026	1.37104	1.35072	1.37513	1.34992	1.37037
2011/11/18 17:00:00	1.34616	1.35335	1.34428	1.35082	1.34558	1.35321	1.34356	1.35072
2011/11/17 17:00:00	1.33585	1.34954	1.33416	1.34616	1.33495	1.34941	1.33383	1.34558
2011/11/16 17:00:00	1.33019	1.33666	1.32949	1.33585	1.33009	1.33660	1.32924	1.33495
2011/11/15 17:00:00	1.33627	1.33823	1.32837	1.33019	1.33558	1.33813	1.32825	1.33009
2011/11/14 17:00:00	1.33749	1.33934	1.33312	1.33627	1.33762	1.33919	1.33283	1.33558
2011/11/11 17:00:00	1.34021	1.34664	1.33639	1.33749	1.33924	1.34651	1.33622	1.33762
2011/11/10 17:00:00	1.33554	1.34564	1.33349	1.34021	1.33481	1.34551	1.33251	1.33924
2011/11/09 17:00:00	1.33126	1.33891	1.33023	1.33554	1.33102	1.33879	1.32998	1.33481
2011/11/08 17:00:00	1.32742	1.33695	1.32562	1.33126	1.32690	1.33682	1.32537	1.33102
2011/11/07 17:00:00	1.32625	1.33417	1.32432	1.32742	1.32597	1.33394	1.32398	1.32690
2011/11/04 17:00:00	1.32745	1.33624	1.32449	1.32625	1.32691	1.33464	1.32433	1.32597
2011/11/03 17:00:00	1.32871	1.33923	1.31743	1.32745	1.32843	1.33912	1.31719	1.32691
2011/11/02 17:00:00	1.32626	1.33684	1.31958	1.32871	1.32618	1.33658	1.31942	1.32843
2011/11/01 17:00:00	1.31600	1.33004	1.31131	1.32626	1.31593	1.32987	1.31107	1.32618
