日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	
EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	MVA	2014-02-15T07:00:00	139.425	139.481	
2013-10-14T19:30:00	133.245	133.275	133.207	133.234	133.216	133.246	133.179	133.206	
133.226	2013-10-14T19:00:00	133.278	133.344	133.239	133.245	133.246	133.318	133.211	
133.216	133.234	2013-10-14T18:30:00	133.240	133.311	133.227	133.278	133.215	133.282	
133.197	133.246	133.239	2013-10-14T18:00:00	133.247	133.290	133.230	133.240	133.215	
133.263	133.201	133.215	133.237	2013-10-14T17:30:00	133.238	133.253	133.162	133.247	
133.207	133.224	133.133	133.215	133.247	2013-10-14T17:00:00	133.309	133.332	133.184	
133.238	133.278	133.302	133.156	133.207	133.255	2013-10-14T16:30:00	133.289	133.359	
133.285	133.309	133.261	133.335	133.257	133.278	133.267	2013-10-14T16:00:00	133.281	
133.329	133.242	133.289	133.254	133.301	133.212	133.261	133.266	2013-10-14T15:30:00	
133.259	133.303	133.249	133.281	133.231	133.274	133.221	133.254	133.274	
2013-10-14T15:00:00	133.314	133.332	133.246	133.259	133.283	133.307	133.216	133.231	
133.281	2013-10-14T14:30:00	133.293	133.337	133.281	133.314	133.273	133.307	133.251	
133.283	133.291	2013-10-14T14:00:00	133.314	133.329	133.293	133.293	133.287	133.304	
133.270	133.273	133.291	2013-10-14T13:30:00	133.304	133.337	133.287	133.314	133.273	
133.311	133.258	133.287	133.292	2013-10-14T13:00:00	133.347	133.349	133.278	133.304	
133.318	133.319	133.246	133.273	133.281	2013-10-14T12:30:00	133.336	133.347	133.314	
133.347	133.305	133.320	133.282	133.318	133.275	2013-10-14T12:00:00	133.328	133.352	
133.315	133.336	133.298	133.323	133.285	133.305	133.262	2013-10-14T11:30:00	133.308	
133.329	133.293	133.328	133.280	133.302	133.265	133.298	133.257	2013-10-14T11:00:00	
133.312	133.323	133.294	133.308	133.282	133.299	133.265	133.280	133.250	
2013-10-14T10:30:00	133.238	133.329	133.219	133.312	133.214	133.300	133.194	133.282	
133.240	2013-10-14T10:00:00	133.261	133.274	133.192	133.238	133.231	133.245	133.164	
133.214	133.237	2013-10-14T09:30:00	133.252	133.276	133.221	133.261	133.224	133.251	
133.192	133.231	133.221	2013-10-14T09:00:00	133.297	133.332	133.239	133.252	133.267	
133.306	133.207	133.224	133.232	2013-10-14T08:30:00	133.285	133.318	133.223	133.297	
133.254	133.290	133.196	133.267	133.233	2013-10-14T08:00:00	133.239	133.294	133.177	
133.285	133.206	133.265	133.148	133.254	133.205	2013-10-14T07:30:00	133.291	133.318	
133.213	133.239	133.260	133.286	133.181	133.206	133.182	2013-10-14T07:00:00	133.165	
133.354	133.123	133.291	133.104	133.287	133.067	133.260	133.164	2013-10-14T06:30:00	
133.355	133.366	133.121	133.165	133.307	133.318	133.039	133.104	133.188	
2013-10-14T06:00:00	133.298	133.439	133.298	133.355	133.236	133.327	133.232	133.307	
133.236	2013-10-14T05:30:00	133.128	133.354	133.118	133.298	133.066	133.287	133.042	
133.236	133.268	2013-10-14T05:00:00	133.159	133.207	133.077	133.128	133.097	133.107	
133.015	133.066	133.297	2013-10-14T04:30:00	133.270	133.270	133.125	133.159	133.079	
133.147	133.063	133.097	133.355	2013-10-14T04:00:00	133.493	133.277	133.270	133.270	
133.443	133.090	133.079	133.079	133.406	2013-10-12T05:30:00	133.477	133.538	133.433	
133.481	133.438	133.497	133.371	133.429	133.448	2013-10-12T05:00:00	133.554	133.565	
133.416	133.477	133.530	133.533	133.376	133.438	133.432	2013-10-12T04:30:00	133.473	
133.554	133.468	133.554	133.443	133.530	133.438	133.530	133.417	2013-10-12T04:00:00	
133.496	133.503	133.464	133.473	133.467	133.476	133.434	133.443	133.382	
2013-10-12T03:30:00	133.483	133.512	133.429	133.496	133.456	133.483	133.399	133.467	
133.381	2013-10-12T03:00:00	133.396	133.483	133.384	133.483	133.371	133.456	133.357	
133.456	133.356	2013-10-12T02:30:00	133.347	133.404	133.290	133.396	133.316	133.375	
133.261	133.371	133.334	2013-10-12T02:00:00	133.364	133.393	133.310	133.347	133.336	
133.366	133.280	133.316	133.325	2013-10-12T01:30:00	133.314	133.423	133.266	133.364	
133.283	133.398	133.236	133.336	133.327	2013-10-12T01:00:00	133.465	133.492	133.293	
133.314	133.436	133.469	133.266	133.283	133.320	2013-10-12T00:30:00	133.320	133.482	
133.320	133.465	133.291	133.457	133.292	133.436	133.321	2013-10-12T00:00:00	133.333	
133.423	133.251	133.320	133.308	133.398	133.223	133.291	133.297	2013-10-11T23:30:00	
133.331	133.379	133.242	133.333	133.302	133.353	133.212	133.308	133.315	
2013-10-11T23:00:00	133.359	133.432	133.278	133.331	133.331	133.404	133.249	133.302	
133.328	2013-10-11T22:30:00	133.318	133.366	133.219	133.359	133.291	133.340	133.174	
133.331	133.328	2013-10-11T22:00:00	133.313	133.393	133.230	133.318	133.285	133.366	
133.201	133.291	133.342	2013-10-11T21:30:00	133.299	133.377	133.262	133.313	133.268	
133.348	133.233	133.285	133.377	2013-10-11T21:00:00	133.446	133.472	133.267	133.299	
133.419	133.447	133.239	133.268	133.413	2013-10-11T20:30:00	133.425	133.494	133.398	
133.446	133.399	133.471	133.372	133.419	133.427	2013-10-11T20:00:00	133.335	133.432	
133.327	133.425	133.305	133.405	133.299	133.399	133.407	2013-10-11T19:30:00	133.456	
133.472	133.258	133.335	133.427	133.447	133.231	133.305	133.389	2013-10-11T19:00:00	
133.563	133.617	133.431	133.456	133.538	133.595	133.407	133.427	133.368	
2013-10-11T18:30:00	133.557	133.586	133.483	133.563	133.532	133.560	133.459	133.538	
133.337	2013-10-11T18:00:00	133.396	133.615	133.393	133.557	133.372	133.601	133.367	
133.532	133.292	2013-10-11T17:30:00	133.304	133.408	133.283	133.396	133.278	133.384	
133.256	133.372	133.246	2013-10-11T17:00:00	133.297	133.377	133.254	133.304	133.268	
133.349	133.225	133.278	133.217	2013-10-11T16:30:00	133.190	133.368	133.140	133.297	
133.163	133.339	133.111	133.268	133.201	2013-10-11T16:00:00	133.238	133.243	133.053	
133.190	133.209	133.213	133.025	133.163	133.194	2013-10-11T15:30:00	133.249	133.325	
133.229	133.238	133.220	133.297	133.200	133.209	133.213	2013-10-11T15:00:00	133.237	
133.267	133.139	133.249	133.210	133.238	133.113	133.220	133.233	2013-10-11T14:30:00	
133.196	133.282	133.134	133.237	133.169	133.255	133.108	133.210	133.247	
2013-10-11T14:00:00	133.199	133.247	133.172	133.196	133.171	133.219	133.142	133.169	
133.263	2013-10-11T13:30:00	133.249	133.337	133.190	133.199	133.219	133.309	133.161	
133.171	133.269	2013-10-11T13:00:00	133.324	133.347	133.236	133.249	133.296	133.319	
133.206	133.219	133.251	2013-10-11T12:30:00	133.376	133.464	133.324	133.324	133.347	
133.436	133.293	133.296	133.213	2013-10-11T12:00:00	133.347	133.454	133.348	133.376	
133.319	133.433	133.320	133.347	133.166	2013-10-11T11:30:00	133.347	133.367	133.307	
133.347	133.319	133.339	133.278	133.319	133.097	2013-10-11T11:00:00	133.241	133.381	
133.139	133.347	133.213	133.352	133.110	133.319	133.018	2013-10-11T10:30:00	133.072	
133.244	133.059	133.241	133.043	133.216	133.030	133.213	132.923	2013-10-11T10:00:00	
132.988	133.102	132.917	133.072	132.957	133.078	132.890	133.043	132.831	
2013-10-11T09:30:00	132.992	133.040	132.908	132.988	132.962	133.014	132.878	132.957	
132.813	2013-10-11T09:00:00	132.894	133.007	132.892	132.992	132.866	132.978	132.865	
132.962	132.782	2013-10-11T08:30:00	132.793	132.902	132.784	132.894	132.763	132.874	
132.754	132.866	132.744	2013-10-11T08:00:00	132.691	132.808	132.691	132.793	132.659	
132.782	132.659	132.763	132.737	2013-10-11T07:30:00	132.595	132.788	132.594	132.691	
132.565	132.754	132.562	132.659	132.746	2013-10-11T07:00:00	132.970	132.974	132.469	
132.595	132.922	132.940	132.426	132.565	132.783	2013-10-11T06:30:00	132.783	132.984	
132.783	132.970	132.740	132.942	132.740	132.922	132.819	2013-10-11T06:00:00	132.739	
132.824	132.725	132.783	132.690	132.778	132.644	132.740	132.806	2013-10-11T05:30:00	
132.847	132.850	132.718	132.739	132.818	132.818	132.679	132.690	132.806	
2013-10-11T05:00:00	132.856	132.893	132.828	132.847	132.828	132.863	132.796	132.818	
132.815	2013-10-11T04:30:00	132.949	132.955	132.811	132.856	132.920	132.927	132.781	
132.828	132.790	2013-10-11T04:00:00	132.844	132.983	132.828	132.949	132.816	132.954	
132.799	132.920	132.778	2013-10-11T03:30:00	132.857	132.911	132.800	132.844	132.827	
132.882	132.772	132.816	132.754	2013-10-11T03:00:00	132.771	132.907	132.745	132.857	
132.745	132.879	132.716	132.827	132.741	2013-10-11T02:30:00	132.780	132.790	132.718	
132.771	132.748	132.764	132.690	132.745	132.712	2013-10-11T02:00:00	132.678	132.781	
132.637	132.780	132.649	132.755	132.608	132.748	132.697	2013-10-11T01:30:00	132.771	
132.794	132.653	132.678	132.739	132.767	132.624	132.649	132.680	2013-10-11T01:00:00	
132.783	132.803	132.724	132.771	132.756	132.776	132.695	132.739	132.650	
2013-10-11T00:30:00	132.751	132.825	132.681	132.783	132.726	132.799	132.652	132.756	
132.623	2013-10-11T00:00:00	132.649	132.800	132.547	132.751	132.622	132.773	132.518	
132.726	132.552	2013-10-10T23:30:00	132.664	132.735	132.581	132.649	132.638	132.708	
132.554	132.622	132.494	2013-10-10T23:00:00	132.658	132.743	132.549	132.664	132.630	
132.714	132.522	132.638	132.453	2013-10-10T22:30:00	132.471	132.742	132.456	132.658	
132.442	132.717	132.430	132.630	132.412	2013-10-10T22:00:00	132.579	132.613	132.470	
132.471	132.549	132.589	132.441	132.442	132.361	2013-10-10T21:30:00	132.391	132.610	
132.241	132.579	132.256	132.583	132.184	132.549	132.337	2013-10-10T21:00:00	132.348	
132.437	132.305	132.391	132.321	132.411	132.256	132.256	132.307	2013-10-10T20:30:00	
132.368	132.430	132.329	132.348	132.338	132.402	132.300	132.321	132.315	
2013-10-10T20:00:00	132.377	132.387	132.329	132.368	132.350	132.360	132.302	132.338	
132.283	2013-10-10T19:30:00	132.299	132.446	132.296	132.377	132.272	132.421	132.269	
132.350	132.216	2013-10-10T19:00:00	132.301	132.358	132.283	132.299	132.273	132.334	
132.257	132.272	132.147	2013-10-10T18:30:00	132.361	132.408	132.288	132.301	132.336	
132.386	132.261	132.273	132.095	2013-10-10T18:00:00	132.341	132.379	132.268	132.361	
132.317	132.355	132.242	132.336	132.044	2013-10-10T17:30:00	132.120	132.353	132.112	
132.341	132.094	132.329	132.085	132.317	131.996	2013-10-10T17:00:00	131.899	132.136	
131.846	132.120	131.872	132.109	131.820	132.094	131.940	2013-10-10T16:30:00	131.889	
131.954	131.833	131.899	131.863	131.927	131.805	131.872	131.921	2013-10-10T16:00:00	
131.935	131.947	131.879	131.889	131.911	131.922	131.853	131.863	131.922	
2013-10-10T15:30:00	131.941	131.999	131.896	131.935	131.916	131.975	131.870	131.911	
131.925	2013-10-10T15:00:00	132.033	132.030	131.902	131.941	132.001	132.002	131.878	
131.916	131.926	2013-10-10T14:30:00	131.954	132.036	131.935	132.033	131.925	132.008	
131.905	132.001	131.916	2013-10-10T14:00:00	131.986	131.998	131.933	131.954	131.956	
131.970	131.904	131.925	131.901	2013-10-10T13:30:00	131.909	131.994	131.882	131.986	
131.879	131.965	131.852	131.956	131.889	2013-10-10T13:00:00	131.916	131.962	131.902	
131.909	131.884	131.939	131.872	131.879	131.880	2013-10-10T12:30:00	131.947	131.957	
131.893	131.916	131.919	131.928	131.864	131.884	131.871	2013-10-10T12:00:00	131.881	
131.972	131.864	131.947	131.850	131.944	131.836	131.919	131.860	2013-10-10T11:30:00	
131.917	131.955	131.799	131.881	131.894	131.928	131.772	131.850	131.843	
2013-10-10T11:00:00	131.873	131.983	131.838	131.917	131.842	131.957	131.810	131.894	
131.842	2013-10-10T10:30:00	131.922	131.944	131.858	131.873	131.893	131.918	131.828	
131.842	131.825	2013-10-10T10:00:00	131.841	131.945	131.766	131.922	131.813	131.918	
131.737	131.893	131.801	2013-10-10T09:30:00	131.838	131.887	131.759	131.841	131.809	
131.859	131.728	131.813	131.768	2013-10-10T09:00:00	131.828	131.882	131.809	131.838	
131.800	131.854	131.779	131.809	131.746	2013-10-10T08:30:00	131.870	131.880	131.785	
131.828	131.841	131.854	131.755	131.800	131.718	2013-10-10T08:00:00	131.801	131.903	
131.793	131.870	131.774	131.874	131.765	131.841	131.681	2013-10-10T07:30:00	131.708	
131.815	131.691	131.801	131.678	131.788	131.659	131.774	131.650	2013-10-10T07:00:00	
131.707	131.743	131.682	131.708	131.659	131.716	131.652	131.678	131.627	
2013-10-10T06:30:00	131.703	131.734	131.682	131.707	131.659	131.694	131.637	131.659	
131.620	2013-10-10T06:00:00	131.655	131.763	131.655	131.703	131.615	131.723	131.596	
131.659	131.616	2013-10-10T05:30:00	131.567	131.660	131.550	131.655	131.538	131.645	
131.519	131.615	131.598	2013-10-10T05:00:00	131.659	131.661	131.541	131.567	131.627	
131.633	131.511	131.538	131.581	2013-10-10T04:30:00	131.642	131.708	131.562	131.659	
131.614	131.683	131.531	131.627	131.561	2013-10-10T04:00:00	131.655	131.702	131.628	
131.642	131.626	131.671	131.597	131.614	131.529	2013-10-10T03:30:00	131.663	131.704	
131.575	131.655	131.630	131.677	131.550	131.626	131.494	2013-10-10T03:00:00	131.595	
131.765	131.487	131.663	131.535	131.736	131.462	131.630	131.448	2013-10-10T02:30:00	
131.522	131.622	131.522	131.595	131.495	131.582	131.495	131.535	131.409	
2013-10-10T02:00:00	131.429	131.539	131.426	131.522	131.402	131.512	131.395	131.495	
131.399	2013-10-10T01:30:00	131.422	131.460	131.389	131.429	131.399	131.434	131.361	
131.402	131.391	2013-10-10T01:00:00	131.398	131.433	131.362	131.422	131.371	131.405	
131.338	131.399	131.389	2013-10-10T00:30:00	131.333	131.449	131.317	131.398	131.306	
131.422	131.290	131.371	131.404	2013-10-10T00:00:00	131.380	131.432	131.262	131.333	
131.355	131.410	131.234	131.306	131.426	2013-10-09T23:30:00	131.497	131.546	131.326	
131.380	131.467	131.519	131.296	131.355	131.446	2013-10-09T23:00:00	131.467	131.551	
131.423	131.497	131.437	131.526	131.396	131.467	131.463	2013-10-09T22:30:00	131.419	
131.501	131.369	131.467	131.390	131.474	131.341	131.437	131.474	2013-10-09T22:00:00	
131.527	131.563	131.419	131.419	131.500	131.540	131.390	131.390	131.501	
2013-10-09T21:30:00	131.552	131.608	131.502	131.527	131.525	131.579	131.472	131.500	
131.543	2013-10-09T21:00:00	131.474	131.647	131.435	131.552	131.445	131.622	131.409	
131.525	131.577	2013-10-09T20:30:00	131.509	131.510	131.405	131.474	131.480	131.483	
131.378	131.445	131.594	2013-10-09T20:00:00	131.568	131.571	131.453	131.509	131.540	
131.546	131.424	131.480	131.629	2013-10-09T19:30:00	131.659	131.703	131.566	131.568	
131.627	131.676	131.539	131.540	131.653	2013-10-09T19:00:00	131.713	131.788	131.649	
131.659	131.683	131.760	131.619	131.627	131.673	2013-10-09T18:30:00	131.772	131.799	
131.667	131.713	131.741	131.772	131.637	131.683	131.716	2013-10-09T18:00:00	131.673	
131.786	131.672	131.772	131.641	131.758	131.642	131.741	131.775	2013-10-09T17:30:00	
131.723	131.765	131.628	131.673	131.694	131.736	131.601	131.641	131.820	
2013-10-09T17:00:00	131.674	131.736	131.613	131.723	131.645	131.717	131.588	131.694	
131.887	2013-10-09T16:30:00	131.711	131.740	131.651	131.674	131.682	131.713	131.625	
131.645	131.936	2013-10-09T16:00:00	131.955	131.956	131.642	131.711	131.926	131.927	
131.619	131.682	131.993	2013-10-09T15:30:00	132.126	132.125	131.905	131.955	132.099	
132.097	131.881	131.926	132.045	2013-10-09T15:00:00	132.078	132.126	131.991	132.126	
132.052	132.099	131.962	132.099	132.056	2013-10-09T14:30:00	132.140	132.187	132.074	
132.078	132.112	132.157	132.049	132.052	132.033	2013-10-09T14:00:00	132.062	132.142	
132.048	132.140	132.035	132.115	132.020	132.112	132.020	2013-10-09T13:30:00	132.072	
132.115	132.023	132.062	132.043	132.088	131.998	132.035	131.981	2013-10-09T13:00:00	
132.076	132.195	132.067	132.072	132.049	132.169	132.038	132.043	131.966	
2013-10-09T12:30:00	132.030	132.130	132.018	132.076	131.999	132.105	131.987	132.049	
131.940	2013-10-09T12:00:00	131.968	132.043	131.945	132.030	131.944	132.014	131.915	
131.999	131.928	2013-10-09T11:30:00	131.988	132.011	131.946	131.968	131.959	131.981	
131.918	131.944	131.898	2013-10-09T11:00:00	131.870	132.048	131.872	131.988	131.840	
132.019	131.842	131.959	131.871	2013-10-09T10:30:00	131.957	131.964	131.805	131.870	
131.928	131.938	131.774	131.840	131.826	2013-10-09T10:00:00	131.892	132.031	131.843	
131.957	131.862	132.005	131.814	131.928	131.791	2013-10-09T09:30:00	131.993	132.019	
131.865	131.892	131.964	131.992	131.838	131.862	131.728	2013-10-09T09:00:00	131.818	
132.017	131.811	131.993	131.789	131.990	131.779	131.964	131.672	2013-10-09T08:30:00	
131.786	131.834	131.719	131.818	131.756	131.806	131.691	131.789	131.600	
2013-10-09T08:00:00	131.673	131.812	131.660	131.786	131.641	131.782	131.629	131.756	
131.557	2013-10-09T07:30:00	131.631	131.699	131.599	131.673	131.600	131.665	131.567	
131.641	131.522	2013-10-09T07:00:00	131.528	131.651	131.508	131.631	131.486	131.620	
131.480	131.600	131.529	2013-10-09T06:30:00	131.501	131.535	131.476	131.528	131.465	
131.499	131.440	131.486	131.519	2013-10-09T06:00:00	131.512	131.564	131.457	131.501	
131.461	131.470	131.415	131.465	131.533	2013-10-09T05:30:00	131.520	131.569	131.476	
131.512	131.491	131.533	131.442	131.461	131.541	2013-10-09T05:00:00	131.538	131.570	
131.471	131.520	131.513	131.542	131.443	131.491	131.560	2013-10-09T04:30:00	131.713	
131.712	131.538	131.538	131.684	131.693	131.506	131.513	131.570	2013-10-09T04:00:00	
131.565	131.722	131.554	131.713	131.536	131.695	131.525	131.684	131.576	
2013-10-09T03:30:00	131.611	131.667	131.538	131.565	131.583	131.639	131.508	131.536	
131.570	2013-10-09T03:00:00	131.547	131.629	131.508	131.611	131.517	131.599	131.478	
131.583	131.599	2013-10-09T02:30:00	131.628	131.636	131.531	131.547	131.596	131.610	
131.502	131.517	131.631	2013-10-09T02:00:00	131.592	131.649	131.521	131.628	131.561	
131.621	131.496	131.596	131.690	2013-10-09T01:30:00	131.585	131.623	131.489	131.592	
131.555	131.594	131.461	131.561	131.738	2013-10-09T01:00:00	131.673	131.680	131.551	
131.585	131.642	131.657	131.520	131.555	131.794	2013-10-09T00:30:00	131.768	131.776	
131.606	131.673	131.738	131.745	131.581	131.642	131.857	2013-10-09T00:00:00	131.837	
131.867	131.714	131.768	131.810	131.838	131.687	131.738	131.897	2013-10-08T23:30:00	
131.959	132.004	131.824	131.837	131.931	131.977	131.795	131.810	131.906	
2013-10-08T23:00:00	131.956	132.031	131.903	131.959	131.931	132.005	131.877	131.931	
131.906	2013-10-08T22:30:00	131.976	132.053	131.881	131.956	131.950	132.026	131.859	
131.931	131.881	2013-10-08T22:00:00	132.022	132.037	131.899	131.976	131.999	132.009	
131.872	131.950	131.842	2013-10-08T21:30:00	131.951	132.028	131.947	132.022	131.922	
131.999	131.918	131.999	131.817	2013-10-08T21:00:00	131.828	132.046	131.827	131.951	
131.801	132.018	131.798	131.922	131.778	2013-10-08T20:30:00	131.835	131.842	131.734	
131.828	131.805	131.836	131.705	131.801	131.742	2013-10-08T20:00:00	131.785	131.857	
131.753	131.835	131.759	131.833	131.728	131.805	131.732	2013-10-08T19:30:00	131.684	
131.835	131.657	131.785	131.655	131.807	131.633	131.759	131.724	2013-10-08T19:00:00	
131.805	131.804	131.674	131.684	131.778	131.776	131.645	131.655	131.729	
2013-10-08T18:30:00	131.752	131.837	131.693	131.805	131.723	131.811	131.665	131.778	
131.748	2013-10-08T18:00:00	131.697	131.760	131.589	131.752	131.671	131.733	131.564	
131.723	131.751	2013-10-08T17:30:00	131.759	131.788	131.643	131.697	131.730	131.760	
131.616	131.671	131.749	2013-10-08T17:00:00	131.783	131.825	131.710	131.759	131.755	
131.799	131.682	131.730	131.757	2013-10-08T16:30:00	131.818	131.851	131.726	131.783	
131.790	131.825	131.697	131.755	131.742	2013-10-08T16:00:00	131.815	131.849	131.709	
131.818	131.787	131.823	131.682	131.790	131.695	2013-10-08T15:30:00	131.828	131.846	
131.723	131.815	131.798	131.817	131.696	131.787	131.646	2013-10-08T15:00:00	131.734	
131.872	131.728	131.828	131.710	131.847	131.701	131.798	131.594	2013-10-08T14:30:00	
131.754	131.868	131.688	131.734	131.727	131.842	131.660	131.710	131.528	
2013-10-08T14:00:00	131.652	131.790	131.576	131.754	131.626	131.762	131.551	131.727	
131.474	2013-10-08T13:30:00	131.452	131.719	131.441	131.652	131.424	131.692	131.416	
131.626	131.411	2013-10-08T13:00:00	131.477	131.515	131.440	131.452	131.450	131.488	
131.415	131.424	131.360	2013-10-08T12:30:00	131.451	131.564	131.405	131.477	131.422	
131.536	131.379	131.450	131.343	2013-10-08T12:00:00	131.367	131.486	131.337	131.451	
131.338	131.461	131.309	131.422	131.334	2013-10-08T11:30:00	131.359	131.418	131.331	
131.367	131.329	131.389	131.307	131.338	131.318	2013-10-08T11:00:00	131.316	131.400	
131.300	131.359	131.288	131.377	131.272	131.329	131.307	2013-10-08T10:30:00	131.301	
131.467	131.293	131.316	131.271	131.441	131.265	131.288	131.304	2013-10-08T10:00:00	
131.332	131.340	131.247	131.301	131.304	131.313	131.219	131.271	131.299	
2013-10-08T09:30:00	131.419	131.425	131.322	131.332	131.389	131.399	131.295	131.304	
131.297	2013-10-08T09:00:00	131.338	131.442	131.320	131.419	131.307	131.419	131.293	
131.389	131.293	2013-10-08T08:30:00	131.290	131.338	131.221	131.338	131.259	131.307	
131.195	131.307	131.281	2013-10-08T08:00:00	131.334	131.374	131.253	131.290	131.309	
131.346	131.225	131.259	131.288	2013-10-08T07:30:00	131.288	131.344	131.263	131.334	
131.254	131.314	131.233	131.309	131.323	2013-10-08T07:00:00	131.312	131.339	131.193	
131.288	131.256	131.304	131.160	131.254	131.359	2013-10-08T06:30:00	131.336	131.340	
131.171	131.312	131.275	131.293	131.125	131.256	131.401	2013-10-08T06:00:00	131.332	
131.443	131.291	131.336	131.310	131.368	131.256	131.275	131.449	2013-10-08T05:30:00	
131.381	131.422	131.297	131.332	131.353	131.393	131.257	131.310	131.500	
2013-10-08T05:00:00	131.530	131.532	131.350	131.381	131.503	131.506	131.326	131.353	
131.541	2013-10-08T04:30:00	131.596	131.603	131.495	131.530	131.563	131.577	131.466	
131.503	131.565	2013-10-08T04:00:00	131.574	131.634	131.569	131.596	131.547	131.605	
131.542	131.563	131.579	2013-10-08T03:30:00	131.623	131.662	131.568	131.574	131.595	
131.632	131.534	131.547	131.591	2013-10-08T03:00:00	131.661	131.692	131.576	131.623	
131.629	131.667	131.548	131.595	131.614	2013-10-08T02:30:00	131.626	131.670	131.565	
131.661	131.595	131.638	131.535	131.629	131.624	2013-10-08T02:00:00	131.550	131.648	
131.514	131.626	131.522	131.620	131.483	131.595	131.621	2013-10-08T01:30:00	131.630	
131.638	131.544	131.550	131.601	131.608	131.518	131.522	131.594	2013-10-08T01:00:00	
131.671	131.706	131.610	131.630	131.645	131.677	131.581	131.601	131.578	
2013-10-08T00:30:00	131.737	131.803	131.669	131.671	131.711	131.777	131.644	131.645	
131.556	2013-10-08T00:00:00	131.692	131.771	131.613	131.737	131.667	131.743	131.585	
131.711	131.522	2013-10-07T23:30:00	131.630	131.712	131.548	131.692	131.603	131.684	
131.520	131.667	131.482	2013-10-07T23:00:00	131.434	131.711	131.429	131.630	131.407	
131.682	131.402	131.603	131.465	2013-10-07T22:30:00	131.440	131.481	131.399	131.434	
131.412	131.456	131.373	131.407	131.461	2013-10-07T22:00:00	131.472	131.546	131.399	
131.440	131.446	131.521	131.375	131.412	131.480	2013-10-07T21:30:00	131.434	131.501	
131.387	131.472	131.408	131.475	131.361	131.446	131.512	2013-10-07T21:00:00	131.457	
131.488	131.416	131.434	131.433	131.464	131.393	131.408	131.553	2013-10-07T20:30:00	
131.570	131.642	131.385	131.457	131.548	131.615	131.359	131.433	131.593	
2013-10-07T20:00:00	131.602	131.648	131.544	131.570	131.575	131.622	131.515	131.548	
131.633	2013-10-07T19:30:00	131.561	131.602	131.560	131.602	131.535	131.575	131.531	
131.575	131.640	2013-10-07T19:00:00	131.667	131.687	131.554	131.561	131.640	131.662	
131.528	131.535	131.634	2013-10-07T18:30:00	131.763	131.788	131.665	131.667	131.734	
131.762	131.638	131.640	131.677	2013-10-07T18:00:00	131.718	131.784	131.669	131.763	
131.688	131.755	131.640	131.734	131.695	2013-10-07T17:30:00	131.737	131.751	131.630	
131.718	131.708	131.722	131.600	131.688	131.695	2013-10-07T17:00:00	131.628	131.772	
131.616	131.737	131.602	131.745	131.590	131.708	131.711	2013-10-07T16:30:00	131.559	
131.652	131.544	131.628	131.532	131.627	131.516	131.602	131.714	2013-10-07T16:00:00	
131.863	131.863	131.531	131.559	131.837	131.836	131.505	131.532	131.731	
2013-10-07T15:30:00	131.798	131.864	131.728	131.863	131.767	131.838	131.698	131.837	
131.765	2013-10-07T15:00:00	131.758	131.836	131.750	131.798	131.731	131.811	131.723	
131.767	131.750	2013-10-07T14:30:00	131.826	131.845	131.751	131.758	131.797	131.816	
131.725	131.731	131.741	2013-10-07T14:00:00	131.757	131.886	131.759	131.826	131.729	
131.858	131.729	131.797	131.747	2013-10-07T13:30:00	131.753	131.827	131.752	131.757	
131.722	131.800	131.721	131.729	131.736	2013-10-07T13:00:00	131.804	131.806	131.737	
131.753	131.774	131.778	131.708	131.722	131.736	2013-10-07T12:30:00	131.760	131.827	
131.710	131.804	131.733	131.799	131.680	131.774	131.750	2013-10-07T12:00:00	131.732	
131.810	131.720	131.760	131.702	131.781	131.691	131.733	131.767	2013-10-07T11:30:00	
131.803	131.804	131.688	131.732	131.772	131.775	131.656	131.702	131.803	
2013-10-07T11:00:00	131.749	131.861	131.727	131.803	131.720	131.831	131.700	131.772	
131.835	2013-10-07T10:30:00	131.754	131.856	131.722	131.749	131.728	131.825	131.690	
131.720	131.851	2013-10-07T10:00:00	131.852	131.864	131.651	131.754	131.821	131.838	
131.621	131.728	131.885	2013-10-07T09:30:00	131.925	131.951	131.849	131.852	131.896	
131.922	131.820	131.821	131.914	2013-10-07T09:00:00	132.004	132.004	131.866	131.925	
131.982	131.980	131.836	131.896	131.936	2013-10-07T08:30:00	131.958	132.063	131.957	
132.004	131.928	132.039	131.927	131.982	131.922	2013-10-07T08:00:00	131.917	131.973	
131.854	131.958	131.885	131.939	131.825	131.928	131.911	2013-10-07T07:30:00	131.994	
131.993	131.913	131.917	131.958	131.958	131.885	131.885	131.885	2013-10-07T07:00:00	
132.021	132.050	131.926	131.994	131.931	132.010	131.886	131.958	131.898	
2013-10-07T06:30:00	132.023	132.075	131.949	132.021	131.971	132.009	131.897	131.931	
131.914	2013-10-07T06:00:00	131.901	132.044	131.901	132.023	131.800	131.992	131.790	
131.971	131.921	2013-10-07T05:30:00	132.003	132.006	131.850	131.901	131.907	131.942	
131.793	131.800	131.934	2013-10-07T05:00:00	131.850	132.029	131.822	132.003	131.746	
131.928	131.741	131.907	131.966	2013-10-07T04:30:00	132.037	132.059	131.831	131.850	
131.971	131.998	131.740	131.746	131.986	2013-10-07T04:00:00	132.147	132.037	132.032	
