日時	"USD/TRY(始値, 買い)"	"USD/TRY(高値, 買い)"	"USD/TRY(安値, 買い)"	"USD/TRY(終値, 買い)"	"USD/TRY(始値, 売り)*"	"USD/TRY(高値, 売り)*"	"USD/TRY(安値, 売り)*"	"USD/TRY(終値, 売り)*"
2016/12/16 13:00:00	3.50314	3.50442	3.49864	3.50018	3.49823	3.49980	3.49716	3.49926
2016/12/16 12:45:00	3.50492	3.50498	3.50029	3.50314	3.50029	3.50118	3.49647	3.49823
2016/12/16 12:30:00	3.50289	3.50920	3.49784	3.50492	3.49834	3.50612	3.49424	3.50029
2016/12/16 12:15:00	3.49925	3.50612	3.49734	3.50289	3.49605	3.50219	3.49319	3.49834
2016/12/16 12:00:00	3.50145	3.50228	3.49592	3.49925	3.49945	3.49965	3.49309	3.49605
2016/12/16 11:45:00	3.49545	3.50205	3.49396	3.50145	3.49502	3.49950	3.49279	3.49945
2016/12/16 11:30:00	3.49666	3.50259	3.49396	3.49545	3.49446	3.50106	3.49287	3.49502
2016/12/16 11:15:00	3.50077	3.50294	3.49638	3.49666	3.49842	3.50178	3.49408	3.49446
2016/12/16 11:00:00	3.50570	3.50891	3.49899	3.50077	3.50546	3.50793	3.49756	3.49842
2016/12/16 10:45:00	3.50684	3.51055	3.50455	3.50570	3.50522	3.50923	3.50300	3.50546
2016/12/16 10:30:00	3.50535	3.50742	3.50348	3.50684	3.50328	3.50639	3.50193	3.50522
2016/12/16 10:15:00	3.50564	3.50797	3.50217	3.50535	3.50494	3.50735	3.50033	3.50328
2016/12/16 10:00:00	3.50898	3.50925	3.50427	3.50564	3.50800	3.50845	3.50360	3.50494
2016/12/16 09:45:00	3.50783	3.51120	3.50735	3.50898	3.50735	3.51062	3.50655	3.50800
2016/12/16 09:30:00	3.50601	3.50919	3.50275	3.50783	3.50564	3.50851	3.50211	3.50735
2016/12/16 09:15:00	3.50394	3.50620	3.50151	3.50601	3.50264	3.50571	3.50095	3.50564
2016/12/16 09:00:00	3.50531	3.50645	3.50285	3.50394	3.50390	3.50470	3.50250	3.50264
2016/12/16 08:45:00	3.50295	3.50667	3.50109	3.50531	3.50214	3.50483	3.50086	3.50390
2016/12/16 08:30:00	3.50687	3.50701	3.50157	3.50295	3.50550	3.50555	3.50064	3.50214
2016/12/16 08:15:00	3.50647	3.50846	3.50313	3.50687	3.50598	3.50798	3.50247	3.50550
2016/12/16 08:00:00	3.50099	3.50675	3.50056	3.50647	3.50068	3.50607	3.50032	3.50598
2016/12/16 07:45:00	3.49804	3.50185	3.49767	3.50099	3.49772	3.50144	3.49710	3.50068
2016/12/16 07:30:00	3.49866	3.50084	3.49575	3.49804	3.49790	3.50046	3.49527	3.49772
2016/12/16 07:15:00	3.49585	3.49958	3.49425	3.49866	3.49542	3.49912	3.49396	3.49790
2016/12/16 07:00:00	3.49400	3.49620	3.49183	3.49585	3.49306	3.49545	3.49155	3.49542
2016/12/16 06:45:00	3.49343	3.49524	3.49254	3.49400	3.49311	3.49474	3.49207	3.49306
2016/12/16 06:30:00	3.49405	3.49668	3.49292	3.49343	3.49231	3.49586	3.49228	3.49311
2016/12/16 06:15:00	3.49338	3.49785	3.49065	3.49405	3.49255	3.49665	3.49026	3.49231
2016/12/16 06:00:00	3.49434	3.49610	3.48936	3.49338	3.49371	3.49529	3.48909	3.49255
2016/12/16 05:45:00	3.49290	3.49591	3.49242	3.49434	3.49178	3.49493	3.49164	3.49371
2016/12/16 05:30:00	3.49410	3.49452	3.48763	3.49290	3.49225	3.49280	3.48706	3.49178
2016/12/16 05:15:00	3.48834	3.49735	3.48729	3.49410	3.48749	3.49542	3.48656	3.49225
2016/12/16 05:00:00	3.49318	3.49456	3.48606	3.48834	3.49220	3.49406	3.48545	3.48749
2016/12/16 04:45:00	3.49811	3.49864	3.49232	3.49318	3.49788	3.49810	3.49162	3.49220
2016/12/16 04:30:00	3.50096	3.50104	3.49791	3.49811	3.50044	3.50062	3.49761	3.49788
2016/12/16 04:15:00	3.50358	3.50528	3.49829	3.50096	3.50306	3.50426	3.49803	3.50044
2016/12/16 04:00:00	3.50515	3.50652	3.50138	3.50358	3.50413	3.50516	3.50000	3.50306
2016/12/16 03:45:00	3.50285	3.50761	3.49817	3.50515	3.50239	3.50671	3.49718	3.50413
