日時	"EUR/AUD(始値, 買い)"	"EUR/AUD(高値, 買い)"	"EUR/AUD(安値, 買い)"	"EUR/AUD(終値, 買い)"	"EUR/AUD(始値, 売り)*"	"EUR/AUD(高値, 売り)*"	"EUR/AUD(安値, 売り)*"	"EUR/AUD(終値, 売り)*"
2016/12/02 03:30:00	1.43688	1.43724	1.43611	1.43650	1.43683	1.43717	1.43609	1.43647
2016/12/02 03:15:00	1.43795	1.43838	1.43686	1.43688	1.43788	1.43831	1.43683	1.43683
2016/12/02 03:00:00	1.43888	1.43962	1.43729	1.43795	1.43878	1.43952	1.43723	1.43788
2016/12/02 02:45:00	1.43962	1.43977	1.43867	1.43888	1.43952	1.43971	1.43860	1.43878
2016/12/02 02:30:00	1.43889	1.43993	1.43887	1.43962	1.43881	1.43990	1.43881	1.43952
2016/12/02 02:15:00	1.44020	1.44046	1.43873	1.43889	1.44011	1.44038	1.43866	1.43881
2016/12/02 02:00:00	1.44074	1.44111	1.43950	1.44020	1.44058	1.44103	1.43944	1.44011
2016/12/02 01:45:00	1.44254	1.44264	1.44051	1.44074	1.44247	1.44255	1.44044	1.44058
2016/12/02 01:30:00	1.44317	1.44349	1.44245	1.44254	1.44311	1.44341	1.44236	1.44247
2016/12/02 01:15:00	1.44312	1.44352	1.44236	1.44317	1.44308	1.44344	1.44229	1.44311
2016/12/02 01:00:00	1.44262	1.44374	1.44245	1.44312	1.44252	1.44367	1.44239	1.44308
2016/12/02 00:45:00	1.44155	1.44266	1.44145	1.44262	1.44147	1.44257	1.44140	1.44252
2016/12/02 00:30:00	1.44226	1.44257	1.44131	1.44155	1.44217	1.44248	1.44127	1.44147
2016/12/02 00:15:00	1.44295	1.44296	1.44209	1.44226	1.44290	1.44292	1.44203	1.44217
2016/12/02 00:00:00	1.44107	1.44321	1.44104	1.44295	1.44097	1.44315	1.44095	1.44290
2016/12/01 23:45:00	1.44114	1.44145	1.44068	1.44107	1.44105	1.44136	1.44059	1.44097
2016/12/01 23:30:00	1.44094	1.44133	1.44046	1.44114	1.44086	1.44124	1.44038	1.44105
2016/12/01 23:15:00	1.44076	1.44136	1.44033	1.44094	1.44065	1.44128	1.44022	1.44086
