日時	"EUR/CZK(始値, 買い)"	"EUR/CZK(高値, 買い)"	"EUR/CZK(安値, 買い)"	"EUR/CZK(終値, 買い)"	"EUR/CZK(始値, 売り)*"	"EUR/CZK(高値, 売り)*"	"EUR/CZK(安値, 売り)*"	"EUR/CZK(終値, 売り)*"
2016/11/20 21:00:00	27.0344	27.0428	27.0344	27.0428	27.0216	27.0236	27.0216	27.0236
2016/11/20 20:45:00	27.0428	27.0429	27.0344	27.0344	27.0236	27.0236	27.0216	27.0216
2016/11/20 20:30:00	27.0369	27.0428	27.0310	27.0428	27.0171	27.0290	27.0171	27.0236
2016/11/20 20:15:00	27.0346	27.0381	27.0310	27.0369	27.0136	27.0260	27.0136	27.0171
2016/11/20 20:00:00	27.0418	27.0419	27.0270	27.0346	27.0068	27.0200	27.0060	27.0136
2016/11/20 19:45:00	27.0437	27.0439	27.0310	27.0418	27.0087	27.0200	27.0068	27.0068
2016/11/20 19:30:00	27.0436	27.0439	27.0435	27.0437	27.0086	27.0089	27.0085	27.0087
2016/11/20 19:15:00	27.0438	27.0438	27.0435	27.0436	27.0088	27.0088	27.0085	27.0086
2016/11/20 19:00:00	27.0437	27.0440	27.0435	27.0438	27.0087	27.0090	27.0085	27.0088
2016/11/20 18:45:00	27.0354	27.0437	27.0320	27.0437	27.0144	27.0200	27.0064	27.0087
2016/11/20 18:30:00	27.0353	27.0355	27.0320	27.0354	27.0143	27.0230	27.0142	27.0144
2016/11/20 18:15:00	27.0353	27.0356	27.0352	27.0353	27.0143	27.0146	27.0142	27.0143
2016/11/20 18:00:00	27.0439	27.0439	27.0292	27.0353	27.0035	27.0200	27.0035	27.0143
2016/11/20 17:45:00	27.0438	27.0439	27.0437	27.0439	27.0034	27.0035	27.0033	27.0035
2016/11/20 17:30:00	27.0442	27.0442	27.0300	27.0438	27.0038	27.0170	27.0015	27.0034
2016/11/20 17:15:00	27.0350	27.0443	27.0350	27.0442	27.0160	27.0160	27.0038	27.0038
2016/11/20 17:00:00	27.0400	27.0400	27.0350	27.0350	27.0120	27.0160	27.0120	27.0160
2016/11/18 16:45:00	27.0342	27.0395	27.0280	27.0310	27.0128	27.0180	27.0119	27.0180
2016/11/18 16:30:00	27.0272	27.0342	27.0250	27.0342	27.0168	27.0200	27.0128	27.0128
2016/11/18 16:15:00	27.0286	27.0286	27.0260	27.0272	27.0186	27.0200	27.0168	27.0168
2016/11/18 16:00:00	27.0284	27.0287	27.0240	27.0286	27.0186	27.0186	27.0186	27.0186
2016/11/18 15:45:00	27.0281	27.0286	27.0240	27.0284	27.0195	27.0200	27.0186	27.0186
2016/11/18 15:30:00	27.0281	27.0282	27.0280	27.0281	27.0195	27.0195	27.0195	27.0195
2016/11/18 15:15:00	27.0282	27.0282	27.0270	27.0281	27.0195	27.0200	27.0195	27.0195
2016/11/18 15:00:00	27.0270	27.0283	27.0270	27.0282	27.0200	27.0204	27.0185	27.0195
2016/11/18 14:45:00	27.0276	27.0281	27.0270	27.0270	27.0185	27.0200	27.0185	27.0200
2016/11/18 14:30:00	27.0276	27.0278	27.0275	27.0276	27.0185	27.0185	27.0185	27.0185
2016/11/18 14:15:00	27.0276	27.0277	27.0275	27.0276	27.0185	27.0185	27.0185	27.0185
2016/11/18 14:00:00	27.0276	27.0277	27.0275	27.0276	27.0185	27.0185	27.0185	27.0185
2016/11/18 13:45:00	27.0260	27.0277	27.0230	27.0276	27.0210	27.0210	27.0185	27.0185
2016/11/18 13:30:00	27.0260	27.0287	27.0260	27.0260	27.0220	27.0220	27.0187	27.0210
2016/11/18 13:15:00	27.0330	27.0343	27.0260	27.0260	27.0260	27.0260	27.0210	27.0220
2016/11/18 13:00:00	27.0335	27.0359	27.0330	27.0330	27.0249	27.0267	27.0249	27.0260
2016/11/18 12:45:00	27.0330	27.0338	27.0330	27.0335	27.0260	27.0260	27.0249	27.0249
2016/11/18 12:30:00	27.0336	27.0337	27.0330	27.0330	27.0249	27.0260	27.0249	27.0260
2016/11/18 12:15:00	27.0328	27.0340	27.0320	27.0336	27.0240	27.0260	27.0240	27.0249
2016/11/18 12:00:00	27.0312	27.0329	27.0312	27.0328	27.0252	27.0252	27.0231	27.0240
2016/11/18 11:45:00	27.0381	27.0389	27.0300	27.0312	27.0321	27.0329	27.0249	27.0252
2016/11/18 11:30:00	27.0388	27.0394	27.0369	27.0381	27.0328	27.0334	27.0309	27.0321
2016/11/18 11:15:00	27.0408	27.0413	27.0369	27.0388	27.0358	27.0363	27.0309	27.0328
2016/11/18 11:00:00	27.0370	27.0441	27.0335	27.0408	27.0290	27.0391	27.0285	27.0358
2016/11/18 10:45:00	27.0424	27.0428	27.0343	27.0370	27.0374	27.0378	27.0290	27.0290
2016/11/18 10:30:00	27.0414	27.0470	27.0404	27.0424	27.0364	27.0393	27.0354	27.0374
2016/11/18 10:15:00	27.0410	27.0420	27.0405	27.0414	27.0360	27.0370	27.0355	27.0364
2016/11/18 10:00:00	27.0444	27.0444	27.0400	27.0410	27.0309	27.0371	27.0309	27.0360
2016/11/18 09:45:00	27.0401	27.0444	27.0380	27.0444	27.0351	27.0360	27.0309	27.0309
2016/11/18 09:30:00	27.0404	27.0416	27.0384	27.0401	27.0354	27.0369	27.0334	27.0351
2016/11/18 09:15:00	27.0404	27.0410	27.0385	27.0404	27.0354	27.0360	27.0335	27.0354
2016/11/18 09:00:00	27.0435	27.0447	27.0392	27.0404	27.0385	27.0398	27.0342	27.0354
2016/11/18 08:45:00	27.0406	27.0449	27.0402	27.0435	27.0356	27.0400	27.0352	27.0385
2016/11/18 08:30:00	27.0379	27.0409	27.0375	27.0406	27.0329	27.0359	27.0327	27.0356
2016/11/18 08:15:00	27.0373	27.0392	27.0361	27.0379	27.0323	27.0342	27.0311	27.0329
2016/11/18 08:00:00	27.0312	27.0386	27.0309	27.0373	27.0262	27.0340	27.0259	27.0323
2016/11/18 07:45:00	27.0348	27.0355	27.0310	27.0312	27.0298	27.0305	27.0262	27.0262
2016/11/18 07:30:00	27.0348	27.0357	27.0340	27.0348	27.0298	27.0310	27.0295	27.0298
2016/11/18 07:15:00	27.0354	27.0355	27.0340	27.0348	27.0304	27.0305	27.0290	27.0298
2016/11/18 07:00:00	27.0350	27.0360	27.0347	27.0354	27.0302	27.0310	27.0298	27.0304
2016/11/18 06:45:00	27.0360	27.0361	27.0346	27.0350	27.0310	27.0310	27.0296	27.0302
2016/11/18 06:30:00	27.0409	27.0446	27.0353	27.0360	27.0380	27.0392	27.0310	27.0310
2016/11/18 06:15:00	27.0363	27.0440	27.0337	27.0409	27.0345	27.0410	27.0319	27.0380
2016/11/18 06:00:00	27.0465	27.0496	27.0363	27.0363	27.0411	27.0442	27.0320	27.0345
2016/11/18 05:45:00	27.0443	27.0477	27.0389	27.0465	27.0389	27.0423	27.0340	27.0411
