日時	"EUR/TRY(始値, 買い)"	"EUR/TRY(高値, 買い)"	"EUR/TRY(安値, 買い)"	"EUR/TRY(終値, 買い)"	"EUR/TRY(始値, 売り)*"	"EUR/TRY(高値, 売り)*"	"EUR/TRY(安値, 売り)*"	"EUR/TRY(終値, 売り)*"
2016/08/31 21:00:00	3.30375	3.30585	3.30363	3.30380	3.30052	3.30213	3.30032	3.30109
2016/08/31 20:45:00	3.30469	3.30491	3.30301	3.30375	3.30117	3.30131	3.29959	3.30052
2016/08/31 20:30:00	3.30529	3.30529	3.30430	3.30469	3.30157	3.30157	3.30060	3.30117
2016/08/31 20:15:00	3.30487	3.30537	3.30464	3.30529	3.30126	3.30159	3.30083	3.30157
2016/08/31 20:00:00	3.30419	3.30513	3.30302	3.30487	3.30135	3.30155	3.29900	3.30126
2016/08/31 19:45:00	3.30525	3.30545	3.30410	3.30419	3.30080	3.30170	3.30031	3.30135
2016/08/31 19:30:00	3.30576	3.30602	3.30468	3.30525	3.30185	3.30185	3.30052	3.30080
2016/08/31 19:15:00	3.30451	3.30593	3.30446	3.30576	3.30191	3.30209	3.30142	3.30185
2016/08/31 19:00:00	3.30518	3.30552	3.30421	3.30451	3.30249	3.30275	3.30129	3.30191
2016/08/31 18:45:00	3.30484	3.30545	3.30427	3.30518	3.30177	3.30266	3.30147	3.30249
2016/08/31 18:30:00	3.30354	3.30496	3.30354	3.30484	3.30112	3.30203	3.30089	3.30177
2016/08/31 18:15:00	3.30402	3.30454	3.30354	3.30354	3.30124	3.30160	3.30044	3.30112
2016/08/31 18:00:00	3.30534	3.30534	3.30251	3.30402	3.30116	3.30173	3.29945	3.30124
2016/08/31 17:45:00	3.30536	3.30578	3.30509	3.30534	3.30077	3.30148	3.30004	3.30116
2016/08/31 17:30:00	3.30464	3.30554	3.30458	3.30536	3.30056	3.30079	3.30030	3.30077
2016/08/31 17:15:00	3.30622	3.30627	3.30439	3.30464	3.30036	3.30078	3.29998	3.30056
2016/08/31 17:00:00	3.30310	3.30735	3.30310	3.30622	3.29780	3.30086	3.29780	3.30036
2016/08/31 16:45:00	3.30256	3.30310	3.30132	3.30310	3.30011	3.30011	3.29780	3.29780
2016/08/31 16:30:00	3.30204	3.30280	3.30183	3.30256	3.30019	3.30027	3.29939	3.30011
2016/08/31 16:15:00	3.30019	3.30204	3.30016	3.30204	3.29929	3.30035	3.29905	3.30019
2016/08/31 16:00:00	3.29998	3.30071	3.29988	3.30019	3.29908	3.29966	3.29880	3.29929
2016/08/31 15:45:00	3.29999	3.30127	3.29955	3.29998	3.29909	3.29976	3.29855	3.29908
2016/08/31 15:30:00	3.30008	3.30147	3.29988	3.29999	3.29900	3.30021	3.29853	3.29909
2016/08/31 15:15:00	3.30018	3.30138	3.29955	3.30008	3.29928	3.30030	3.29841	3.29900
2016/08/31 15:00:00	3.30100	3.30100	3.29925	3.30018	3.29984	3.29993	3.29834	3.29928
2016/08/31 14:45:00	3.29957	3.30155	3.29935	3.30100	3.29867	3.30039	3.29830	3.29984
2016/08/31 14:30:00	3.30026	3.30064	3.29948	3.29957	3.29936	3.29956	3.29851	3.29867
2016/08/31 14:15:00	3.29928	3.30061	3.29884	3.30026	3.29839	3.29941	3.29771	3.29936
2016/08/31 14:00:00	3.30065	3.30222	3.29888	3.29928	3.29976	3.30007	3.29785	3.29839
2016/08/31 13:45:00	3.30168	3.30236	3.29979	3.30065	3.30035	3.30091	3.29868	3.29976
2016/08/31 13:30:00	3.30141	3.30338	3.30101	3.30168	3.30051	3.30210	3.29956	3.30035
2016/08/31 13:15:00	3.30237	3.30333	3.30117	3.30141	3.30148	3.30182	3.30002	3.30051
2016/08/31 13:00:00	3.30193	3.30308	3.30147	3.30237	3.30103	3.30159	3.30041	3.30148
2016/08/31 12:45:00	3.30463	3.30522	3.30193	3.30193	3.30374	3.30404	3.30024	3.30103
2016/08/31 12:30:00	3.30527	3.30703	3.30429	3.30463	3.30437	3.30604	3.30296	3.30374
2016/08/31 12:15:00	3.30298	3.30603	3.30228	3.30527	3.30208	3.30476	3.30118	3.30437
2016/08/31 12:00:00	3.29903	3.30459	3.29884	3.30298	3.29810	3.30283	3.29760	3.30208
2016/08/31 11:45:00	3.29996	3.30010	3.29852	3.29903	3.29896	3.29910	3.29755	3.29810
2016/08/31 11:30:00	3.30022	3.30168	3.29954	3.29996	3.29913	3.30081	3.29853	3.29896
2016/08/31 11:15:00	3.29910	3.30090	3.29850	3.30022	3.29855	3.29999	3.29778	3.29913
