日時	"USD/CZK(始値, 買い)"	"USD/CZK(高値, 買い)"	"USD/CZK(安値, 買い)"	"USD/CZK(終値, 買い)"	"USD/CZK(始値, 売り)*"	"USD/CZK(高値, 売り)*"	"USD/CZK(安値, 売り)*"	"USD/CZK(終値, 売り)*"
2016/07/19 14:45:00	24.5389	24.5436	24.5312	24.5351	24.5292	24.5336	24.5214	24.5251
2016/07/19 14:30:00	24.5440	24.5465	24.5350	24.5389	24.5340	24.5367	24.5292	24.5292
2016/07/19 14:15:00	24.5442	24.5504	24.5411	24.5440	24.5350	24.5404	24.5317	24.5340
2016/07/19 14:00:00	24.5438	24.5470	24.5393	24.5442	24.5343	24.5373	24.5328	24.5350
2016/07/19 13:45:00	24.5369	24.5467	24.5286	24.5438	24.5274	24.5383	24.5191	24.5343
2016/07/19 13:30:00	24.5316	24.5411	24.5302	24.5369	24.5225	24.5321	24.5216	24.5274
2016/07/19 13:15:00	24.5404	24.5404	24.5298	24.5316	24.5306	24.5312	24.5209	24.5225
2016/07/19 13:00:00	24.5382	24.5497	24.5382	24.5404	24.5292	24.5409	24.5292	24.5306
2016/07/19 12:45:00	24.5349	24.5395	24.5317	24.5382	24.5266	24.5306	24.5225	24.5292
2016/07/19 12:30:00	24.5370	24.5437	24.5281	24.5349	24.5276	24.5340	24.5188	24.5266
2016/07/19 12:15:00	24.5505	24.5505	24.5336	24.5370	24.5411	24.5411	24.5252	24.5276
2016/07/19 12:00:00	24.5374	24.5552	24.5285	24.5505	24.5309	24.5453	24.5197	24.5411
2016/07/19 11:45:00	24.5448	24.5456	24.5259	24.5374	24.5390	24.5399	24.5194	24.5309
2016/07/19 11:30:00	24.5512	24.5530	24.5347	24.5448	24.5455	24.5472	24.5289	24.5390
2016/07/19 11:15:00	24.5596	24.5680	24.5328	24.5512	24.5539	24.5622	24.5271	24.5455
2016/07/19 11:00:00	24.5428	24.5615	24.5286	24.5596	24.5371	24.5558	24.5228	24.5539
2016/07/19 10:45:00	24.5320	24.5453	24.5260	24.5428	24.5263	24.5396	24.5203	24.5371
2016/07/19 10:30:00	24.5218	24.5366	24.5168	24.5320	24.5160	24.5308	24.5111	24.5263
2016/07/19 10:15:00	24.5165	24.5322	24.5073	24.5218	24.5107	24.5264	24.5013	24.5160
2016/07/19 10:00:00	24.5139	24.5380	24.5127	24.5165	24.5081	24.5335	24.5069	24.5107
2016/07/19 09:45:00	24.5046	24.5288	24.5011	24.5139	24.4988	24.5231	24.4954	24.5081
2016/07/19 09:30:00	24.5156	24.5158	24.5003	24.5046	24.5098	24.5100	24.4946	24.4988
2016/07/19 09:15:00	24.5245	24.5423	24.5113	24.5156	24.5188	24.5363	24.5055	24.5098
2016/07/19 09:00:00	24.5151	24.5346	24.5085	24.5245	24.5067	24.5289	24.5027	24.5188
2016/07/19 08:45:00	24.5332	24.5355	24.5124	24.5151	24.5275	24.5297	24.5059	24.5067
2016/07/19 08:30:00	24.5067	24.5375	24.4983	24.5332	24.4870	24.5317	24.4870	24.5275
2016/07/19 08:15:00	24.4934	24.5099	24.4886	24.5067	24.4877	24.5041	24.4828	24.4870
2016/07/19 08:00:00	24.5003	24.5144	24.4905	24.4934	24.4932	24.5087	24.4847	24.4877
2016/07/19 07:45:00	24.4711	24.5180	24.4692	24.5003	24.4654	24.5123	24.4635	24.4932
2016/07/19 07:30:00	24.4548	24.4765	24.4529	24.4711	24.4491	24.4707	24.4471	24.4654
2016/07/19 07:15:00	24.4453	24.4558	24.4435	24.4548	24.4396	24.4500	24.4378	24.4491
2016/07/19 07:00:00	24.4417	24.4519	24.4376	24.4453	24.4320	24.4462	24.4295	24.4396
2016/07/19 06:45:00	24.4413	24.4473	24.4384	24.4417	24.4347	24.4407	24.4310	24.4320
2016/07/19 06:30:00	24.4325	24.4427	24.4313	24.4413	24.4259	24.4361	24.4247	24.4347
2016/07/19 06:15:00	24.4307	24.4400	24.4291	24.4325	24.4241	24.4335	24.4225	24.4259
2016/07/19 06:00:00	24.4321	24.4345	24.4220	24.4307	24.4256	24.4280	24.4154	24.4241
2016/07/19 05:45:00	24.4376	24.4431	24.4291	24.4321	24.4311	24.4365	24.4225	24.4256
2016/07/19 05:30:00	24.4173	24.4401	24.4141	24.4376	24.4107	24.4335	24.4075	24.4311
2016/07/19 05:15:00	24.4165	24.4176	24.4066	24.4173	24.4099	24.4110	24.4001	24.4107
2016/07/19 05:00:00	24.4340	24.4387	24.4141	24.4165	24.4153	24.4321	24.4075	24.4099
2016/07/19 04:45:00	24.4222	24.4340	24.4141	24.4340	24.4157	24.4186	24.4076	24.4153
2016/07/19 04:30:00	24.4189	24.4222	24.3991	24.4222	24.4084	24.4157	24.3926	24.4157
2016/07/19 04:15:00	24.4292	24.4335	24.4159	24.4189	24.4227	24.4270	24.4084	24.4084
2016/07/19 04:00:00	24.4382	24.4472	24.4289	24.4292	24.4316	24.4406	24.4224	24.4227
2016/07/19 03:45:00	24.4314	24.4616	24.4298	24.4382	24.4248	24.4564	24.4233	24.4316
2016/07/19 03:30:00	24.4121	24.4377	24.4119	24.4314	24.4056	24.4311	24.4053	24.4248
2016/07/19 03:15:00	24.4141	24.4160	24.4092	24.4121	24.4075	24.4094	24.4026	24.4056
2016/07/19 03:00:00	24.4228	24.4268	24.4092	24.4141	24.4162	24.4203	24.4027	24.4075
2016/07/19 02:45:00	24.4064	24.4293	24.3974	24.4228	24.3999	24.4242	24.3908	24.4162
2016/07/19 02:30:00	24.4012	24.4122	24.4007	24.4064	24.3918	24.4027	24.3918	24.3999
2016/07/19 02:15:00	24.4121	24.4187	24.4012	24.4012	24.4026	24.4093	24.3918	24.3918
2016/07/19 02:00:00	24.4100	24.4163	24.4050	24.4121	24.3966	24.4068	24.3955	24.4026
2016/07/19 01:45:00	24.4167	24.4181	24.4080	24.4100	24.4030	24.4050	24.3940	24.3966
2016/07/19 01:30:00	24.4142	24.4173	24.4110	24.4167	24.3970	24.4030	24.3961	24.4030
2016/07/19 01:15:00	24.4091	24.4180	24.4068	24.4142	24.3920	24.4009	24.3897	24.3970
2016/07/19 01:00:00	24.4087	24.4119	24.4077	24.4091	24.3915	24.3947	24.3906	24.3920
2016/07/19 00:45:00	24.4104	24.4105	24.4051	24.4087	24.3933	24.3934	24.3879	24.3915
